analysis_id,sample_matrix_id,sample_matrix_other,bacterial_group_id,bacterial_group_other,concentration_data_id,ar_phenotype,ar_phenotype_class,gene_name,gene_description,gene_family,associated_phenotype,abundance,value,sampling_date_day,sampling_date_month,sampling_date_year,sampling_date_hour,sampling_date_minute,name_of_the_wider_area_of_sampling,river_basin_name,type_of_depth_sampling_id,depth,soil_type_id,soil_texture_id,concentration_normalised,grain_size_distribution_id,grain_size_distribution_other,dry_wet_ratio,ph,total_organic_carbon,method_id,source_id,coordinate_id,remark
1,32,,5,Total heterotrophic bacteria,,ampicillin 32 mg/L,,,,,,5777.31092436975,,14,5,2018,,,,,0,,0,0,,0,,,,,1,1,1,
2,32,,5,Total heterotrophic bacteria,,trimethoprim 4mg/L + sulfamethoxazole 76 mg/L,,,,,,5094.53781512605,,14,5,2018,,,,,0,,0,0,,0,,,,,1,1,1,
3,32,,5,Total heterotrophic bacteria,,ampicillin 32 mg/L,,,,,,23046.875,,13,6,2018,,,,,0,,0,0,,0,,,,,1,1,1,
4,32,,5,Total heterotrophic bacteria,,trimethoprim 4mg/L + sulfamethoxazole 76 mg/L,,,,,,8046.875,,13,6,2018,,,,,0,,0,0,,0,,,,,1,1,1,
5,32,,5,Total heterotrophic bacteria,,ampicillin 32 mg/L,,,,,,36354.5816733068,,3,7,2018,,,,,0,,0,0,,0,,,,,1,1,1,
6,32,,5,Total heterotrophic bacteria,,trimethoprim 4mg/L + sulfamethoxazole 76 mg/L,,,,,,18675.2988047809,,3,7,2018,,,,,0,,0,0,,0,,,,,1,1,1,
7,32,,5,Total heterotrophic bacteria,,ampicillin 32 mg/L,,,,,,32370.5179282869,,18,9,2018,,,,,0,,0,0,,0,,,,,1,1,1,
8,32,,5,Total heterotrophic bacteria,,trimethoprim 4mg/L + sulfamethoxazole 76 mg/L,,,,,,10956.1752988048,,18,9,2018,,,,,0,,0,0,,0,,,,,1,1,1,
9,32,,5,Total heterotrophic bacteria,,ampicillin 32 mg/L,,,,,,11128.364389234,,12,11,2018,,,,,0,,0,0,,0,,,,,1,1,1,
10,32,,5,Total heterotrophic bacteria,,trimethoprim 4mg/L + sulfamethoxazole 76 mg/L,,,,,,3105.5900621118,,12,11,2018,,,,,0,,0,0,,0,,,,,1,1,1,
11,32,,5,Total heterotrophic bacteria,,ampicillin 32 mg/L,,,,,,82589.2857142857,,12,12,2018,,,,,0,,0,0,,0,,,,,1,1,1,
12,32,,5,Total heterotrophic bacteria,,trimethoprim 4mg/L + sulfamethoxazole 76 mg/L,,,,,,28125,,12,12,2018,,,,,0,,0,0,,0,,,,,1,1,1,
13,32,,5,Total heterotrophic bacteria,,ampicillin 32 mg/L,,,,,,60699.5884773663,,22,1,2019,,,,,0,,0,0,,0,,,,,1,1,1,
