coordinate_id,country_id,country_other,station_name,national_code,relevant_ec_code_wise,relevant_ec_code_other,other_code,east_west,longitude1,longitude2,longitude3,longitude_decimal,north_south,latitude1,latitude2,latitude3,latitude_decimal,precision_coordinates_id,altitude
1,AT,,Kläranlage Frauenkirchen,,,,,East,16,55,24,16.9233333333333,North,47,49,38,47.8272222222222,0,
23,AT,,Kläranlage Frauenkirchen,,,,,East,16,55,24,16.9233333333333,North,47,49,38,47.8272222222222,0,
66,ES,,WWTP - Albufera Sur - Influent - Winter,WWTP-AS-I-W,,,,,,,,-0.4029,,,,,39.2708,0,
67,ES,,WWTP - Quart - Influent - Winter,WWTP-Q-I-W,,,,,,,,-0.4134,,,,,39.4546,0,
68,ES,,WWTP - Pinedo - Influent - Winter,WWTP-P-I-W,,,,,,,,-0.3442,,,,,39.4423,0,
69,ES,,WWTP - El Saler - Influent - Winter,WWTP-ES-I-W,,,,,,,,-0.3281,,,,,39.3629,0,
70,ES,,WWTP - Sueca Perelló - Influent - Winter,WWTP-SP-I-W,,,,,,,,-0.281,,,,,39.2742,0,
71,ES,,WWTP - Albufera Sur - Influent - Summer,WWTP-AS-I-S,,,,,,,,-0.4029,,,,,39.2708,0,
72,ES,,WWTP - Quart - Influent - Summer,WWTP-Q-I-S,,,,,,,,-0.4134,,,,,39.4546,0,
73,ES,,WWTP - Pinedo - Influent - Summer,WWTP-P-I-S,,,,,,,,-0.3442,,,,,39.4423,0,
74,ES,,WWTP - El Saler - Influent - Summer,WWTP-ES-I-S,,,,,,,,-0.3281,,,,,39.3629,0,
75,ES,,WWTP - Sueca Perelló - Influent - Summer,WWTP-SP-I-S,,,,,,,,-0.281,,,,,39.2742,0,
76,ES,,WWTP - Albufera Sur - Influent - Spring,WWTP-AS-I-Sp,,,,,,,,-0.4029,,,,,39.2708,0,
77,ES,,WWTP - Quart - Influent - Spring,WWTP-Q-I-Sp,,,,,,,,-0.4134,,,,,39.4546,0,
78,ES,,WWTP - Pinedo - Influent - Spring,WWTP-P-I-Sp,,,,,,,,-0.3442,,,,,39.4423,0,
79,ES,,WWTP - El Saler - Influent - Spring,WWTP-ES-I-Sp,,,,,,,,-0.3281,,,,,39.3629,0,
80,ES,,WWTP - Sueca Perelló - Influent - Spring,WWTP-SP-I-Sp,,,,,,,,-0.281,,,,,39.2742,0,
81,ES,,WWTP - Albufera Sur - Influent - Winter,WWTP-AS-E-W,,,,,,,,-0.4029,,,,,39.2708,0,
82,ES,,WWTP - Quart - Influent - Winter,WWTP-Q-E-W,,,,,,,,-0.4134,,,,,39.4546,0,
83,ES,,WWTP - Pinedo - Influent - Winter,WWTP-P-E-W,,,,,,,,-0.3442,,,,,39.4423,0,
84,ES,,WWTP - El Saler - Influent - Winter,WWTP-ES-E-W,,,,,,,,-0.3281,,,,,39.3629,0,
85,ES,,WWTP - Sueca Perelló - Influent - Winter,WWTP-SP-E-W,,,,,,,,-0.281,,,,,39.2742,0,
86,ES,,WWTP - Sueca Perelló - Influent - Spring,WWTP-AS-I-Sp,,,,,,,,-0.281,,,,,39.2742,0,
