analysis_id,sample_matrix_id,sample_matrix_other,gene_name,gene_description,gene_family,associated_phenotype,monogenic_phenotype,forward_primer,reverse_primer,dye_probe_based,probe_sequence,plasmid_genome_standards,multi_drug_resistance_phenotype,genetic_marker,genetic_marker_specify,common_bacterial_host,concentration_data_id,concentration_id,concentration_abundance_per_ml,concentration_abundance_per_ng,concentration_abundance,prevalence,sampling_date_day,sampling_date_month,sampling_date_year,sampling_date_hour,sampling_date_minute,method_id,source_id,coordinate_id,remark
1,8,Prior irrigation,sul1,di-hydropteroate synthase resistant to sulfonamides,di-hydropteroate synthases,resistance to sulfonamides,Yes,,,,,,Yes,No,"","",1,1,495442,,,0.00009254999895347282,20,6,2018,"","",1,1,1,Samples <LOQ are placed as 0. You may need to change that  to <LOQ but the datasheet did not allowed that.
2,8,Prior irrigation,sul1,di-hydropteroate synthase resistant to sulfonamides,di-hydropteroate synthases,resistance to sulfonamides,Yes,,,,,,Yes,No,"","",1,1,565974,,,0.0006000000284984708,20,6,2018,"","",1,1,1,Samples <LOQ are placed as 0. You may need to change that  to <LOQ but the datasheet did not allowed that.
3,8,Prior irrigation,sul1,di-hydropteroate synthase resistant to sulfonamides,di-hydropteroate synthases,resistance to sulfonamides,Yes,,,,,,Yes,No,"","",1,1,120330,,,0.00009454999963054433,20,6,2018,"","",1,1,1,Samples <LOQ are placed as 0. You may need to change that  to <LOQ but the datasheet did not allowed that.
4,8,Prior irrigation,sul1,di-hydropteroate synthase resistant to sulfonamides,di-hydropteroate synthases,resistance to sulfonamides,Yes,,,,,,Yes,No,"","",1,1,476447,,,0.0004493283631745726,20,6,2018,"","",1,1,1,Samples <LOQ are placed as 0. You may need to change that  to <LOQ but the datasheet did not allowed that.
5,8,Prior irrigation,sul1,di-hydropteroate synthase resistant to sulfonamides,di-hydropteroate synthases,resistance to sulfonamides,Yes,,,,,,Yes,No,"","",1,1,479870,,,0.00003281786848674528,20,6,2018,"","",1,1,1,Samples <LOQ are placed as 0. You may need to change that  to <LOQ but the datasheet did not allowed that.
6,8,Prior irrigation,sul1,di-hydropteroate synthase resistant to sulfonamides,di-hydropteroate synthases,resistance to sulfonamides,Yes,,,,,,Yes,No,"","",1,1,75222,,,0.0002635507262311876,20,6,2018,"","",1,1,1,Samples <LOQ are placed as 0. You may need to change that  to <LOQ but the datasheet did not allowed that.
7,8,Prior irrigation,sul1,di-hydropteroate synthase resistant to sulfonamides,di-hydropteroate synthases,resistance to sulfonamides,Yes,,,,,,Yes,No,"","",1,2,0,,,0,20,6,2018,"","",1,1,1,Samples <LOQ are placed as 0. You may need to change that  to <LOQ but the datasheet did not allowed that.
8,8,Prior irrigation,sul1,di-hydropteroate synthase resistant to sulfonamides,di-hydropteroate synthases,resistance to sulfonamides,Yes,,,,,,Yes,No,"","",1,2,0,,,0,20,6,2018,"","",1,1,1,Samples <LOQ are placed as 0. You may need to change that  to <LOQ but the datasheet did not allowed that.
9,8,Prior irrigation,sul1,di-hydropteroate synthase resistant to sulfonamides,di-hydropteroate synthases,resistance to sulfonamides,Yes,,,,,,Yes,No,"","",1,2,0,,,0,20,6,2018,"","",1,1,1,Samples <LOQ are placed as 0. You may need to change that  to <LOQ but the datasheet did not allowed that.
10,8,Prior irrigation,sul1,di-hydropteroate synthase resistant to sulfonamides,di-hydropteroate synthases,resistance to sulfonamides,Yes,,,,,,Yes,No,"","",1,2,0,,,0,20,6,2018,"","",1,1,1,Samples <LOQ are placed as 0. You may need to change that  to <LOQ but the datasheet did not allowed that.
11,8,One month after TWW irrigation,sul1,di-hydropteroate synthase resistant to sulfonamides,di-hydropteroate synthases,resistance to sulfonamides,Yes,,,,,,Yes,No,"","",1,1,105493.3359375,,,0.00009810434858081862,22,7,2018,"","",1,1,1,Samples <LOQ are placed as 0. You may need to change that  to <LOQ but the datasheet did not allowed that.
12,8,One month after TWW irrigation,sul1,di-hydropteroate synthase resistant to sulfonamides,di-hydropteroate synthases,resistance to sulfonamides,Yes,,,,,,Yes,No,"","",1,1,140128,,,0.0002737631439231336,22,7,2018,"","",1,1,1,Samples <LOQ are placed as 0. You may need to change that  to <LOQ but the datasheet did not allowed that.
13,8,One month after TWW irrigation,sul1,di-hydropteroate synthase resistant to sulfonamides,di-hydropteroate synthases,resistance to sulfonamides,Yes,,,,,,Yes,No,"","",1,1,39910,,,0.00008198979776352644,22,7,2018,"","",1,1,1,Samples <LOQ are placed as 0. You may need to change that  to <LOQ but the datasheet did not allowed that.
14,8,One month after TWW irrigation,sul1,di-hydropteroate synthase resistant to sulfonamides,di-hydropteroate synthases,resistance to sulfonamides,Yes,,,,,,Yes,No,"","",1,1,242935.671875,,,0.0007404086645692587,22,7,2018,"","",1,1,1,Samples <LOQ are placed as 0. You may need to change that  to <LOQ but the datasheet did not allowed that.
15,8,One month after TWW irrigation,sul1,di-hydropteroate synthase resistant to sulfonamides,di-hydropteroate synthases,resistance to sulfonamides,Yes,,,,,,Yes,No,"","",1,1,283070.65625,,,0.0008973943768069148,22,7,2018,"","",1,1,1,Samples <LOQ are placed as 0. You may need to change that  to <LOQ but the datasheet did not allowed that.
16,8,One month after TWW irrigation,sul1,di-hydropteroate synthase resistant to sulfonamides,di-hydropteroate synthases,resistance to sulfonamides,Yes,,,,,,Yes,No,"","",1,1,373834.5,,,0.0011049334425479174,22,7,2018,"","",1,1,1,Samples <LOQ are placed as 0. You may need to change that  to <LOQ but the datasheet did not allowed that.
17,8,One month after TWW irrigation,sul1,di-hydropteroate synthase resistant to sulfonamides,di-hydropteroate synthases,resistance to sulfonamides,Yes,,,,,,Yes,No,"","",1,1,197119,,,0.00007278499833773822,22,7,2018,"","",1,1,1,Samples <LOQ are placed as 0. You may need to change that  to <LOQ but the datasheet did not allowed that.
18,8,One month after TWW irrigation,sul1,di-hydropteroate synthase resistant to sulfonamides,di-hydropteroate synthases,resistance to sulfonamides,Yes,,,,,,Yes,No,"","",1,1,16234.6669921875,,,0.00007278499833773822,22,7,2018,"","",1,1,1,Samples <LOQ are placed as 0. You may need to change that  to <LOQ but the datasheet did not allowed that.
19,8,One month after TWW irrigation,sul1,di-hydropteroate synthase resistant to sulfonamides,di-hydropteroate synthases,resistance to sulfonamides,Yes,,,,,,Yes,No,"","",1,1,54500.66796875,,,0.00010792857210617512,22,7,2018,"","",1,1,1,Samples <LOQ are placed as 0. You may need to change that  to <LOQ but the datasheet did not allowed that.
20,8,Three Months after TWW irrigation,sul1,di-hydropteroate synthase resistant to sulfonamides,di-hydropteroate synthases,resistance to sulfonamides,Yes,,,,,,Yes,No,"","",1,1,143062.40625,,,0.00011396894115023315,17,9,2018,"","",1,1,1,Samples <LOQ are placed as 0. You may need to change that  to <LOQ but the datasheet did not allowed that.
21,8,Three Months after TWW irrigation,sul1,di-hydropteroate synthase resistant to sulfonamides,di-hydropteroate synthases,resistance to sulfonamides,Yes,,,,,,Yes,No,"","",1,1,129499.203125,,,0.0004937146441079676,17,9,2018,"","",1,1,1,Samples <LOQ are placed as 0. You may need to change that  to <LOQ but the datasheet did not allowed that.
22,8,Three Months after TWW irrigation,sul1,di-hydropteroate synthase resistant to sulfonamides,di-hydropteroate synthases,resistance to sulfonamides,Yes,,,,,,Yes,No,"","",1,1,133963.203125,,,0.0003293798945378512,17,9,2018,"","",1,1,1,Samples <LOQ are placed as 0. You may need to change that  to <LOQ but the datasheet did not allowed that.
23,8,Three Months after TWW irrigation,sul1,di-hydropteroate synthase resistant to sulfonamides,di-hydropteroate synthases,resistance to sulfonamides,Yes,,,,,,Yes,No,"","",1,1,1169814.75,,,0.0005011064931750298,17,9,2018,"","",1,1,1,Samples <LOQ are placed as 0. You may need to change that  to <LOQ but the datasheet did not allowed that.
24,8,Three Months after TWW irrigation,sul1,di-hydropteroate synthase resistant to sulfonamides,di-hydropteroate synthases,resistance to sulfonamides,Yes,,,,,,Yes,No,"","",1,1,1762100,,,0.020658034831285477,17,9,2018,"","",1,1,1,Samples <LOQ are placed as 0. You may need to change that  to <LOQ but the datasheet did not allowed that.
25,8,Three Months after TWW irrigation,sul1,di-hydropteroate synthase resistant to sulfonamides,di-hydropteroate synthases,resistance to sulfonamides,Yes,,,,,,Yes,No,"","",1,1,618679.625,,,0.024586467072367668,17,9,2018,"","",1,1,1,Samples <LOQ are placed as 0. You may need to change that  to <LOQ but the datasheet did not allowed that.
26,8,Three Months after TWW irrigation,sul1,di-hydropteroate synthase resistant to sulfonamides,di-hydropteroate synthases,resistance to sulfonamides,Yes,,,,,,Yes,No,"","",1,1,316851.09375,,,0.018710119649767876,17,9,2018,"","",1,1,1,Samples <LOQ are placed as 0. You may need to change that  to <LOQ but the datasheet did not allowed that.
27,8,Three Months after TWW irrigation,sul1,di-hydropteroate synthase resistant to sulfonamides,di-hydropteroate synthases,resistance to sulfonamides,Yes,,,,,,Yes,No,"","",1,1,12060,,,0.0004536217311397195,17,9,2018,"","",1,1,1,Samples <LOQ are placed as 0. You may need to change that  to <LOQ but the datasheet did not allowed that.
