coordinate_id,country_id,country_other,station_name,national_code,relevant_ec_code_wise,relevant_ec_code_other,other_code,east_west,longitude1,longitude2,longitude3,longitude_decimal,north_south,latitude1,latitude2,latitude3,latitude_decimal,precision_coordinates_id,altitude
1,DE,"",Abwasserverband Braunschweig,"","","","",East,10,23,57,10.399167,North,52,21,35,52.359722,2,75
256,AT,"",FSR 2,"","","","",East,16,55,0,16.916667,North,47,50,0,47.833333,0,""
257,AT,"",FSR 3,"","","","",East,16,55,0,16.916667,North,47,50,0,47.833333,0,""
316,AT,"",Kläranlage Frauenkirchen,"","","","",East,16,55,24,16.923333,North,47,49,38,47.827222,0,""
337,DE,"",Abwasserverband Braunschweig,"","","","",East,10,23,57,10.399167,North,52,21,35,52.359722,2,75
673,PT,"","","","","","",West,9,7,44,-9.128889,North,38,42,15,38.704167,0,""
679,IL,"",Commercial field Northen Isreal 1,"","","","",East,35,15,0,35.250000,North,32,36,12,32.603333,2,""
680,IL,"",Commercial field Southern Israel 2b,"","","","",East,35,12,2,35.200556,North,32,9,3,32.150833,2,""
681,IL,"",Commercial field Southern Israel 2c,"","","","",East,35,12,2,35.200556,North,32,9,3,32.150833,2,""
682,IL,"",Commercial field Northen Isreal 3a,"","","","",East,34,41,12,34.686667,North,31,17,28,31.291111,2,""
683,IL,"",Commercial field Northen Isreal 3b,"","","","",East,34,41,12,34.686667,North,31,17,28,31.291111,2,""
684,IL,"",Experimental avocados orchard Northen Israel,"","","","",East,35,28,47,35.479722,North,32,47,1,32.783611,2,""
763,ES,"",Cabrera de Mar,"","","","",East,2,25,4,2.41777777777778,North,41,31,6,41.5183333333333,0,""
764,ES,"",Baix Llobregat Agrarian Park,"","","","",East,2,8,13,2.13694444444444,North,41,17,57,41.2991666666667,0,""
765,ES,"",Begues,"","","","",East,1,54,51,1.91416666666667,North,41,19,57,41.3325,0,""
1103,AT,"",Meadow,"","","","",East,15,9,0,15.15,North,48,9,0,48.15,0,""
1132,SE,"",Eskilstuna 1,"","","","",East,16,27,54,16.464885,North,59,23,38,59.393914,2,""
1133,SE,"",Eskilstuna 2,"","","","",East,16,27,54,16.464885,North,59,23,38,59.393914,2,""
1134,SE,"",Eskilstuna 3,"","","","",East,16,27,54,16.464885,North,59,23,38,59.393914,2,""
1162,IL,"",Effluents WWTP Southern Israel 2,"","","","",East,35,14,15,"",North,32,37,8,"",2,""
1163,IL,"",Effluents WWTP Northern Israel 3,"","","","",East,34,41,12,"",North,31,17,28,"",2,""
1164,IL,"",Effluents WWTP Central Israel 4,"","","","",East,34,36,43,"",North,31,42,38,"",2,""
1190,CH,"",Basel,CH,"","","",East,7,35,33,7.5925,North,47,33,30,47.5583333333333,3,""
1191,DE,"",Cologne,D,"","","",East,6,58,15,6.97083333333333,North,50,55,35,50.9263888888889,3,""
1192,NL,"",Arnhem,NL,"","","",East,5,55,33,5.92583333333333,North,51,58,13,51.9702777777778,3,""
1229,SE,"",Stockholm 1,"","","","",East,18,6,53,18.114667,North,59,19,2,59.317139,0,""
1230,SE,"",Stockholm 2,"","","","",East,18,6,53,18.114667,North,59,19,2,59.317139,0,""
1231,SE,"",Stockholm 3,"","","","",East,18,6,53,18.114667,North,59,19,2,59.317139,0,""
1280,SE,"",Uppsala 1,"","","","",East,17,39,41,17.661445,North,59,49,54,59.831518,0,""
1281,SE,"",Uppsala 2,"","","","",East,17,39,41,17.661445,North,59,49,54,59.831518,0,""
1282,SE,"",Uppsala 3,"","","","",East,17,39,41,17.661445,North,59,49,54,59.831518,0,""
1412,SE,"",Vasteras 1,"","","","",East,16,33,55,16.565228,North,59,36,13,59.603491,0,""
1413,SE,"",Vasteras 2,"","","","",East,16,33,55,16.565228,North,59,36,13,59.603491,0,""
1414,SE,"",Vasteras 3,"","","","",East,16,33,55,16.565228,North,59,36,13,59.603491,0,""
1649,AT,"",Kläranlage Frauenkirchen,"","","","",East,16,55,24,16.923333,North,47,49,38,47.827222,0,""
1693,IL,"",WWTP Northen Israel 1,"","","","",East,35,14,51,35.247500,North,32,36,30,32.608333,2,""
1694,IL,"",WWTP Northen Israel 2,"","","","",East,35,14,15,35.237500,North,32,37,8,32.618889,2,""
1695,IL,"",WWTP Northen Israel 3,"","","","",East,35,8,4,35.134444,North,32,53,7,32.885278,2,""
1728,DE,"",Abwasserverband Braunschweig,"","","","",East,10,23,57,"",North,52,21,35,"",2,75
1770,NL,"",Reinier de Graaf Hospital,NL,"","","",East,4,20,14,4.337222,North,51,59,57,51.999167,0,""
1796,CN,"",B1,"","","","","","","","","","","","","","",0,""
1797,CN,"",B2,"","","","","","","","","","","","","","",0,""
1798,CN,"",B3,"","","","","","","","","","","","","","",0,""
1799,CN,"",B4,"","","","","","","","","","","","","","",0,""
1800,CN,"",B5,"","","","","","","","","","","","","","",0,""
1801,CN,"",B6,"","","","","","","","","","","","","","",0,""
1802,CN,"",W1,"","","","","","","","","","","","","","",0,""
1803,CN,"",W2,"","","","","","","","","","","","","","",0,""
1804,CN,"",Q1,"","","","","","","","","","","","","","",0,""
1805,CN,"",Q2,"","","","","","","","","","","","","","",0,""
2016,CN,"",Nanjing A/O,"","","","","","","","","","","","","","",0,""
2017,CN,"",Wuxi A2O-MBR,"","","","","","","","","","","","","","",0,""
2018,CN,"",Jingjiang A/O,"","","","","","","","","","","","","","",0,""
2019,CN,"",Taicang UASB/aerobic,"","","","","","","","","","","","","","",0,""
2020,CN,"",Shanghai A/O,"","","","","","","","","","","","","","",0,""
2066,NP,"",KTM289,"","","","","","","","","","","","","","",0,""
2067,NP,"",KTM298,"","","","","","","","","","","","","","",0,""
2068,NP,"",KTM316,"","","","","","","","","","","","","","",0,""
2069,NP,"",KTM346,"","","","","","","","","","","","","","",0,""
2070,NP,"",KTM373,"","","","","","","","","","","","","","",0,""
2071,NP,"",KTM374,"","","","","","","","","","","","","","",0,""
2144,NP,"",KTM358,"","","","","","","","","","","","","","",0,""
2145,NP,"",KTM361,"","","","","","","","","","","","","","",0,""
2146,NP,"",KTM436,"","","","","","","","","","","","","","",0,""
2147,NP,"",KTM441,"","","","","","","","","","","","","","",0,""
2148,NP,"",KTM442,"","","","","","","","","","","","","","",0,""
2149,NP,"",KTM463,"","","","","","","","","","","","","","",0,""
2150,NP,"",KTM125,"","","","","","","","","","","","","","",0,""
2151,NP,"",KTM209,"","","","","","","","","","","","","","",0,""
2152,NP,"",KTM245,"","","","","","","","","","","","","","",0,""
2153,NP,"",KTM294,"","","","","","","","","","","","","","",0,""
2154,NP,"",KTM306,"","","","","","","","","","","","","","",0,""
2155,NP,"",KTM342,"","","","","","","","","","","","","","",0,""
2156,NP,"",KTM362,"","","","","","","","","","","","","","",0,""
2157,NP,"",KTM368,"","","","","","","","","","","","","","",0,""
2158,NP,"",KTM412,"","","","","","","","","","","","","","",0,""
2159,NP,"",KTM423,"","","","","","","","","","","","","","",0,""
2160,NP,"",KTM432,"","","","","","","","","","","","","","",0,""
2161,NP,"",KTM433,"","","","","","","","","","","","","","",0,""
2162,NP,"",KTM434,"","","","","","","","","","","","","","",0,""
2163,NP,"",KTM459,"","","","","","","","","","","","","","",0,""
2164,NP,"",KTM205,"","","","","","","","","","","","","","",0,""
2165,NP,"",KTM329,"","","","","","","","","","","","","","",0,""
2166,NP,"",KTM371,"","","","","","","","","","","","","","",0,""
2167,NP,"",KTM446,"","","","","","","","","","","","","","",0,""
2168,NP,"",KTM119,"","","","","","","","","","","","","","",0,""
2169,NP,"",KTM120,"","","","","","","","","","","","","","",0,""
2170,NP,"",KTM150,"","","","","","","","","","","","","","",0,""
2171,NP,"",KTM159,"","","","","","","","","","","","","","",0,""
2172,NP,"",KTM392,"","","","","","","","","","","","","","",0,""
2173,NP,"",KTM407,"","","","","","","","","","","","","","",0,""
2534,CY,"",Moni Wastewater Treatement Plants Limassol,CY,"","","",1,33,42,49,33.213804,1,34,42,41,34.711375,0,""
2535,CY,"",Anthoupolis Wastewater Treatement Plant Nicosia,CY,"","","",1,33,16,16,33.271242,1,35,6,16,35.104422,0,""
2536,PT,"", Urban Wasteater Treatment plant (Northern Portugal).,PT,"","","",2,8,35,40,-8.594568,1,41,12,17,41.20467,0,""
2558,ES,"",Surface water - La Almozara - Winter,SW-LA-W,"","","","","","","",-0.760028,"","","","",41.581299,0,""
2559,ES,"",Surface water - La Cartuja - Winter,SW-LC-W,"","","","","","","",-0.855215,"","","","",41.650499,0,""
2560,ES,"",Surface water - Flix - Winter,SW-F-W,"","","","","","","",0.556073,"","","","",41.245315,0,""
2561,ES,"",Surface water - Tortosa - Winter,SW-T-W,"","","","","","","",0.534803,"","","","",40.774842,0,""
2562,ES,"",Surface water - Amposta - Winter,SW-A-W,"","","","","","","",0.619198,"","","","",40.704215,0,""
2563,ES,"",Surface water - ValenciaP1 - Winter,SW-P1-W,"","","","","","","",-0.353,"","","","",39.4221,0,""
2564,ES,"",Surface water - ValenciaP6 - Winter,SW-P6-W,"","","","","","","",-0.3588,"","","","",39.306,0,""
2565,ES,"",Surface water - ValenciaP14 - Winter,SW-P14-W,"","","","","","","",-0.3506,"","","","",39.3939,0,""
2566,ES,"",Surface water - ValenciaP18 - Winter,SW-P18-W,"","","","","","","",-0.3397,"","","","",39.3814,0,""
2567,ES,"",Surface water - ValenciaP21 - Winter,SW-P21-W,"","","","","","","",-0.3235,"","","","",39.3495,0,""
2568,ES,"",Surface water - ValenciaP29 - Winter,SW-P29-W,"","","","","","","",-0.3184,"","","","",39.3275,0,""
2569,ES,"",Surface water - La Almozara - Summer,SW-LA-S,"","","","","","","",-0.760028,"","","","",41.581299,0,""
2570,ES,"",Surface water - La Cartuja - Summer,SW-LC-S,"","","","","","","",-0.855215,"","","","",41.650499,0,""
2571,ES,"",Surface water - Flix - Summer,SW-F-S,"","","","","","","",0.556073,"","","","",41.245315,0,""
