m_bfs_id,m_sd_id,m_ds_id,m_auxiliary_sample_identification,m_bioassay_type_id,m_bioassay_type_other,m_bioassay_name_id,m_bfs_bioassay_name_other,m_adverse_outcome_id,m_bfs_adverse_outcome_other,m_test_organism_id,m_bfs_test_organism_other,m_cell_line_strain_id,m_bfs_cell_line_strain_other,m_endpoint_id,m_bfs_endpoint_other,m_effect_id,m_bfs_effect_other,m_measured_parameter_id,m_bfs_measured_parameter_other,m_bfs_exposure_duration,m_bfs_effect_significantly,m_bfs_maximal_tested_ref,m_bfs_dose_response_relationship,m_main_determinand_id,m_bfs_main_determinand_other,m_bfs_value_determinand,m_effect_equivalent_id,m_bfs_effect_equivalent_other,m_bfs_value_effect_equivalent,m_standard_substance_id,m_bfs_standard_substance_other,m_bfs_limit_of_detection,m_bfs_limit_of_quantification,m_bfs_date_performed_month,m_bfs_date_performed_year,m_bfs_bioassay_performed,m_bfs_guideline,m_bfs_deviation,m_bfs_describe_deviation,m_assay_format_id,m_bfs_assay_format_other,m_solvent_id,m_bfs_solvent_other,m_bfs_max_solvent_concentration,m_bfs_test_medium,m_test_system_id,m_bfs_test_system_other,m_bfs_no_organisms,m_bfs_age_organisms,m_life_stage_id,m_bfs_life_stage_other,m_bfs_no_experiment_repetitions,m_bfs_no_replicates_per_treatment,m_bfs_no_concentration_treatments,m_effect_level_id,m_bfs_effect_level_other,m_bfs_cv_main_determinand,m_bfs_average_cv_resopnse,m_bfs_statistical_assessment,m_bfs_significance_level,m_bfs_statistical_calculation,m_bfs_positive_control_tested,m_positive_control_id,m_bfs_positive_control_other,m_bfs_compliance_guideline_values,m_bfs_compliance_long_term,m_bfs_solvent_control_tested,m_bfs_respective_blank_sample,m_bfs_temperature_test,m_bfs_temperature_compliance,m_bfs_ph_sample_test,m_bfs_ph_sample_adjusted,m_bfs_ph_compliance,m_bfs_do_sample_test,m_bfs_do_compliance,m_bfs_conductivity_sample_test,m_bfs_conductivity_compliance,m_bfs_ammonium_measured,m_bfs_ammonium_compliance,m_bfs_light_intensity,m_bfs_photoperiod,m_bfs_reference_method,m_bfs_reference_paper
1,1,1,11111C1,1,"",3,"",8,"",10,"",39,"",13,"",5,"",1,"",72,yes,100,yes,7,"",17.37,10,"",NA,29,"",NA,NA,February,2014,yes,OECD 201,yes,miniaturized,4,"",1,"",0.5,50% ZBB medium,2,"",100000,0,4,"",2,5,5,1,"",7.43,7.71,ANOVA,0.05,"Graphpad Prism Software 6, Non-linear dose-response Hill's model",yes,22,"",NR,yes,yes,28,yes,yes,yes,no,yes,no,NA,no,NA,no,NA,1600,24:0,"Rojickova, R., Dvorakova, D., 1998. The Use of Miniaturized Algal Bioassays in Comparison to the Standard Flask Assay. Env. Toxicol Water Qual 13, 235–241.","Tousova, Z., Oswald, P., Slobodnik, J., Blaha, L., Muz, M., Hu, M., Brack, W., Krauss, M., Di Paolo, C., Tarcai, Z., Seiler, T.-B., Hollert, H., Koprivica, S., Ahel, M., Schollée, J.E., Hollender, J., Suter, M.J.-F., Hidasi, A.O., Schirmer, K., Sonavane, M., Ait-Aissa, S., Creusot, N., Brion, F., Froment, J., Almeida, A.C., Thomas, K., Tollefsen, K.E., Tufi, S., Ouyang, X., Leonards, P., Lamoree, M., Torrens, V.O., Kolkman, A., Schriks, M., Spirhanzlova, P., Tindall, A., Schulze, T., 2017. European demonstration program on the effect-based and chemical identification and monitoring of organic pollutants in European surface waters. Sci. Total Environ. 601–602, 1849–1868. doi:10.1016/j.scitotenv.2017.06.032"
2,1,1,11111C1,1,"",3,"",8,"",10,"",39,"",13,"",5,"",1,"",72,yes,100,yes,2,"",8.95,10,"",NA,29,"",NA,NA,February,2014,yes,OECD 201,yes,miniaturized,4,"",1,"",0.5,50% ZBB medium,2,"",100000,0,4,"",2,5,5,1,"",10.41,7.71,ANOVA,0.05,"Graphpad Prism Software 6, Non-linear dose-response Hill's model",yes,22,"",NR,yes,yes,28,yes,yes,yes,no,yes,no,NA,no,NA,no,NA,1600,24:0,"Rojickova, R., Dvorakova, D., 1998. The Use of Miniaturized Algal Bioassays in Comparison to the Standard Flask Assay. Env. Toxicol Water Qual 13, 235–241.","Tousova, Z., Oswald, P., Slobodnik, J., Blaha, L., Muz, M., Hu, M., Brack, W., Krauss, M., Di Paolo, C., Tarcai, Z., Seiler, T.-B., Hollert, H., Koprivica, S., Ahel, M., Schollée, J.E., Hollender, J., Suter, M.J.-F., Hidasi, A.O., Schirmer, K., Sonavane, M., Ait-Aissa, S., Creusot, N., Brion, F., Froment, J., Almeida, A.C., Thomas, K., Tollefsen, K.E., Tufi, S., Ouyang, X., Leonards, P., Lamoree, M., Torrens, V.O., Kolkman, A., Schriks, M., Spirhanzlova, P., Tindall, A., Schulze, T., 2017. European demonstration program on the effect-based and chemical identification and monitoring of organic pollutants in European surface waters. Sci. Total Environ. 601–602, 1849–1868. doi:10.1016/j.scitotenv.2017.06.032"
3,1,1,11111C1,1,"",3,"",8,"",10,"",39,"",13,"",5,"",1,"",72,yes,100,yes,12,"",11.1,10,"",NA,29,"",NA,NA,February,2014,yes,OECD 201,yes,miniaturized,4,"",1,"",0.5,50% ZBB medium,2,"",100000,0,4,"",2,5,5,1,"",0,7.71,ANOVA,0.05,"Graphpad Prism Software 6, Non-linear dose-response Hill's model",yes,22,"",NR,yes,yes,28,yes,yes,yes,no,yes,no,NA,no,NA,no,NA,1600,24:0,"Rojickova, R., Dvorakova, D., 1998. The Use of Miniaturized Algal Bioassays in Comparison to the Standard Flask Assay. Env. Toxicol Water Qual 13, 235–241.","Tousova, Z., Oswald, P., Slobodnik, J., Blaha, L., Muz, M., Hu, M., Brack, W., Krauss, M., Di Paolo, C., Tarcai, Z., Seiler, T.-B., Hollert, H., Koprivica, S., Ahel, M., Schollée, J.E., Hollender, J., Suter, M.J.-F., Hidasi, A.O., Schirmer, K., Sonavane, M., Ait-Aissa, S., Creusot, N., Brion, F., Froment, J., Almeida, A.C., Thomas, K., Tollefsen, K.E., Tufi, S., Ouyang, X., Leonards, P., Lamoree, M., Torrens, V.O., Kolkman, A., Schriks, M., Spirhanzlova, P., Tindall, A., Schulze, T., 2017. European demonstration program on the effect-based and chemical identification and monitoring of organic pollutants in European surface waters. Sci. Total Environ. 601–602, 1849–1868. doi:10.1016/j.scitotenv.2017.06.032"
4,3,1,12111C1,1,"",3,"",8,"",10,"",39,"",13,"",5,"",1,"",72,yes,100,yes,1,"",99.8,10,"",NA,29,"",NA,NA,February,2014,yes,OECD 201,yes,miniaturized,4,"",1,"",0.5,50% ZBB medium,2,"",100000,0,4,"",2,5,5,1,"",NR,10.83,ANOVA,0.05,"Graphpad Prism Software 6, Non-linear dose-response Hill's model",yes,22,"",NR,yes,yes,28,yes,yes,yes,no,yes,no,NA,no,NA,no,NA,1600,24:0,"Rojickova, R., Dvorakova, D., 1998. The Use of Miniaturized Algal Bioassays in Comparison to the Standard Flask Assay. Env. Toxicol Water Qual 13, 235–241.","Tousova, Z., Oswald, P., Slobodnik, J., Blaha, L., Muz, M., Hu, M., Brack, W., Krauss, M., Di Paolo, C., Tarcai, Z., Seiler, T.-B., Hollert, H., Koprivica, S., Ahel, M., Schollée, J.E., Hollender, J., Suter, M.J.-F., Hidasi, A.O., Schirmer, K., Sonavane, M., Ait-Aissa, S., Creusot, N., Brion, F., Froment, J., Almeida, A.C., Thomas, K., Tollefsen, K.E., Tufi, S., Ouyang, X., Leonards, P., Lamoree, M., Torrens, V.O., Kolkman, A., Schriks, M., Spirhanzlova, P., Tindall, A., Schulze, T., 2017. European demonstration program on the effect-based and chemical identification and monitoring of organic pollutants in European surface waters. Sci. Total Environ. 601–602, 1849–1868. doi:10.1016/j.scitotenv.2017.06.032"
5,3,1,12111C1,1,"",3,"",8,"",10,"",39,"",13,"",5,"",1,"",72,yes,100,yes,8,"",92.21,10,"",NA,29,"",NA,NA,February,2014,yes,OECD 201,yes,miniaturized,4,"",1,"",0.5,50% ZBB medium,2,"",100000,0,4,"",2,5,5,1,"",NR,10.83,ANOVA,0.05,"Graphpad Prism Software 6, Non-linear dose-response Hill's model",yes,22,"",NR,yes,yes,28,yes,yes,yes,no,yes,no,NA,no,NA,no,NA,1600,24:0,"Rojickova, R., Dvorakova, D., 1998. The Use of Miniaturized Algal Bioassays in Comparison to the Standard Flask Assay. Env. Toxicol Water Qual 13, 235–241.","Tousova, Z., Oswald, P., Slobodnik, J., Blaha, L., Muz, M., Hu, M., Brack, W., Krauss, M., Di Paolo, C., Tarcai, Z., Seiler, T.-B., Hollert, H., Koprivica, S., Ahel, M., Schollée, J.E., Hollender, J., Suter, M.J.-F., Hidasi, A.O., Schirmer, K., Sonavane, M., Ait-Aissa, S., Creusot, N., Brion, F., Froment, J., Almeida, A.C., Thomas, K., Tollefsen, K.E., Tufi, S., Ouyang, X., Leonards, P., Lamoree, M., Torrens, V.O., Kolkman, A., Schriks, M., Spirhanzlova, P., Tindall, A., Schulze, T., 2017. European demonstration program on the effect-based and chemical identification and monitoring of organic pollutants in European surface waters. Sci. Total Environ. 601–602, 1849–1868. doi:10.1016/j.scitotenv.2017.06.032"
6,3,1,12111C1,1,"",3,"",8,"",10,"",39,"",13,"",5,"",1,"",72,yes,100,yes,12,"",100,10,"",NA,29,"",NA,NA,February,2014,yes,OECD 201,yes,miniaturized,4,"",1,"",0.5,50% ZBB medium,2,"",100000,0,4,"",2,5,5,1,"",0,10.83,ANOVA,0.05,"Graphpad Prism Software 6, Non-linear dose-response Hill's model",yes,22,"",NR,yes,yes,28,yes,yes,yes,no,yes,no,NA,no,NA,no,NA,1600,24:0,"Rojickova, R., Dvorakova, D., 1998. The Use of Miniaturized Algal Bioassays in Comparison to the Standard Flask Assay. Env. Toxicol Water Qual 13, 235–241.","Tousova, Z., Oswald, P., Slobodnik, J., Blaha, L., Muz, M., Hu, M., Brack, W., Krauss, M., Di Paolo, C., Tarcai, Z., Seiler, T.-B., Hollert, H., Koprivica, S., Ahel, M., Schollée, J.E., Hollender, J., Suter, M.J.-F., Hidasi, A.O., Schirmer, K., Sonavane, M., Ait-Aissa, S., Creusot, N., Brion, F., Froment, J., Almeida, A.C., Thomas, K., Tollefsen, K.E., Tufi, S., Ouyang, X., Leonards, P., Lamoree, M., Torrens, V.O., Kolkman, A., Schriks, M., Spirhanzlova, P., Tindall, A., Schulze, T., 2017. European demonstration program on the effect-based and chemical identification and monitoring of organic pollutants in European surface waters. Sci. Total Environ. 601–602, 1849–1868. doi:10.1016/j.scitotenv.2017.06.032"
7,5,1,13111C1,1,"",3,"",8,"",10,"",39,"",13,"",5,"",1,"",72,yes,100,yes,1,"",106.1,10,"",NA,29,"",NA,NA,February,2014,yes,OECD 201,yes,miniaturized,4,"",1,"",0.5,50% ZBB medium,2,"",100000,0,4,"",2,5,5,2,"",NR,12.2,ANOVA,0.05,"Graphpad Prism Software 6, Non-linear dose-response Hill's model",yes,22,"",NR,yes,yes,28,yes,yes,yes,no,yes,no,NA,no,NA,no,NA,1600,24:0,"Rojickova, R., Dvorakova, D., 1998. The Use of Miniaturized Algal Bioassays in Comparison to the Standard Flask Assay. Env. Toxicol Water Qual 13, 235–241.","Tousova, Z., Oswald, P., Slobodnik, J., Blaha, L., Muz, M., Hu, M., Brack, W., Krauss, M., Di Paolo, C., Tarcai, Z., Seiler, T.-B., Hollert, H., Koprivica, S., Ahel, M., Schollée, J.E., Hollender, J., Suter, M.J.-F., Hidasi, A.O., Schirmer, K., Sonavane, M., Ait-Aissa, S., Creusot, N., Brion, F., Froment, J., Almeida, A.C., Thomas, K., Tollefsen, K.E., Tufi, S., Ouyang, X., Leonards, P., Lamoree, M., Torrens, V.O., Kolkman, A., Schriks, M., Spirhanzlova, P., Tindall, A., Schulze, T., 2017. European demonstration program on the effect-based and chemical identification and monitoring of organic pollutants in European surface waters. Sci. Total Environ. 601–602, 1849–1868. doi:10.1016/j.scitotenv.2017.06.032"
8,5,1,13111C1,1,"",3,"",8,"",10,"",39,"",13,"",5,"",1,"",72,yes,100,yes,8,"",97.93,10,"",NA,29,"",NA,NA,February,2014,yes,OECD 201,yes,miniaturized,4,"",1,"",0.5,50% ZBB medium,2,"",100000,0,4,"",2,5,5,1,"",NR,12.2,ANOVA,0.05,"Graphpad Prism Software 6, Non-linear dose-response Hill's model",yes,22,"",NR,yes,yes,28,yes,yes,yes,no,yes,no,NA,no,NA,no,NA,1600,24:0,"Rojickova, R., Dvorakova, D., 1998. The Use of Miniaturized Algal Bioassays in Comparison to the Standard Flask Assay. Env. Toxicol Water Qual 13, 235–241.","Tousova, Z., Oswald, P., Slobodnik, J., Blaha, L., Muz, M., Hu, M., Brack, W., Krauss, M., Di Paolo, C., Tarcai, Z., Seiler, T.-B., Hollert, H., Koprivica, S., Ahel, M., Schollée, J.E., Hollender, J., Suter, M.J.-F., Hidasi, A.O., Schirmer, K., Sonavane, M., Ait-Aissa, S., Creusot, N., Brion, F., Froment, J., Almeida, A.C., Thomas, K., Tollefsen, K.E., Tufi, S., Ouyang, X., Leonards, P., Lamoree, M., Torrens, V.O., Kolkman, A., Schriks, M., Spirhanzlova, P., Tindall, A., Schulze, T., 2017. European demonstration program on the effect-based and chemical identification and monitoring of organic pollutants in European surface waters. Sci. Total Environ. 601–602, 1849–1868. doi:10.1016/j.scitotenv.2017.06.032"
9,5,1,13111C1,1,"",3,"",8,"",10,"",39,"",13,"",5,"",1,"",72,yes,100,yes,12,"",100,10,"",NA,29,"",NA,NA,February,2014,yes,OECD 201,yes,miniaturized,4,"",1,"",0.5,50% ZBB medium,2,"",100000,0,4,"",2,5,5,1,"",0,12.2,ANOVA,0.05,"Graphpad Prism Software 6, Non-linear dose-response Hill's model",yes,22,"",NR,yes,yes,28,yes,yes,yes,no,yes,no,NA,no,NA,no,NA,1600,24:0,"Rojickova, R., Dvorakova, D., 1998. The Use of Miniaturized Algal Bioassays in Comparison to the Standard Flask Assay. Env. Toxicol Water Qual 13, 235–241.","Tousova, Z., Oswald, P., Slobodnik, J., Blaha, L., Muz, M., Hu, M., Brack, W., Krauss, M., Di Paolo, C., Tarcai, Z., Seiler, T.-B., Hollert, H., Koprivica, S., Ahel, M., Schollée, J.E., Hollender, J., Suter, M.J.-F., Hidasi, A.O., Schirmer, K., Sonavane, M., Ait-Aissa, S., Creusot, N., Brion, F., Froment, J., Almeida, A.C., Thomas, K., Tollefsen, K.E., Tufi, S., Ouyang, X., Leonards, P., Lamoree, M., Torrens, V.O., Kolkman, A., Schriks, M., Spirhanzlova, P., Tindall, A., Schulze, T., 2017. European demonstration program on the effect-based and chemical identification and monitoring of organic pollutants in European surface waters. Sci. Total Environ. 601–602, 1849–1868. doi:10.1016/j.scitotenv.2017.06.032"
10,7,1,14111C1,1,"",3,"",8,"",10,"",39,"",13,"",5,"",1,"",72,yes,100,yes,1,"",106.5,10,"",NA,29,"",NA,NA,February,2014,yes,OECD 201,yes,miniaturized,4,"",1,"",0.5,50% ZBB medium,2,"",100000,0,4,"",2,5,5,2,"",NR,8.47,ANOVA,0.05,"Graphpad Prism Software 6, Non-linear dose-response Hill's model",yes,22,"",NR,yes,yes,28,yes,yes,yes,no,yes,no,NA,no,NA,no,NA,1600,24:0,"Rojickova, R., Dvorakova, D., 1998. The Use of Miniaturized Algal Bioassays in Comparison to the Standard Flask Assay. Env. Toxicol Water Qual 13, 235–241.","Tousova, Z., Oswald, P., Slobodnik, J., Blaha, L., Muz, M., Hu, M., Brack, W., Krauss, M., Di Paolo, C., Tarcai, Z., Seiler, T.-B., Hollert, H., Koprivica, S., Ahel, M., Schollée, J.E., Hollender, J., Suter, M.J.-F., Hidasi, A.O., Schirmer, K., Sonavane, M., Ait-Aissa, S., Creusot, N., Brion, F., Froment, J., Almeida, A.C., Thomas, K., Tollefsen, K.E., Tufi, S., Ouyang, X., Leonards, P., Lamoree, M., Torrens, V.O., Kolkman, A., Schriks, M., Spirhanzlova, P., Tindall, A., Schulze, T., 2017. European demonstration program on the effect-based and chemical identification and monitoring of organic pollutants in European surface waters. Sci. Total Environ. 601–602, 1849–1868. doi:10.1016/j.scitotenv.2017.06.032"
