m_sd_id,m_ds_id,m_sd_auxiliary_sample_identification,m_country_id,m_sd_country_other,m_sd_station_name,m_sd_station_national_code,m_sd_station_ec_code_wise,m_sd_station_ec_code_other,m_sd_other_station_code,m_sd_longitude,m_sd_latitude,m_precision_coordinates_id,m_sd_altitude,m_sample_matrix_id,m_sd_sample_matrix_other,m_type_sampling_id,m_sampling_technique_id,m_sd_sampling_technique_other,m_sd_sampling_start_day,m_sd_sampling_start_month,m_sd_sampling_start_year,m_sd_sampling_start_hour,m_sd_sampling_start_minute,m_sd_sampling_duration_days,m_sd_sampling_duration_hours,m_fraction_id,m_sd_fraction_other,m_sd_name,m_sd_river_basin_name,m_sd_river_km,m_proxy_pressures_id,m_sd_proxy_pressures_other,m_sd_sampling_depth,m_sd_surface_area,m_sd_salinity_mean,m_sd_spm_concentration,m_sd_ph,m_sd_temperature,m_sd_dissolved_organic_carbon,m_sd_conductivity,m_sd_guideline,m_sd_reference
1,1,11114A1,54,"","Brno-Modřice, WWTP effluent",NR,NR,NR,NR,49.1245056N,16.6291389E,2,NR,1,"",1,3,"",19,8,2013,11,45,0,0.00,1,"",Svratka,Morava,NR,18,"",0.3,NR,NR,NR,7.44,21.7,NR,1175,NA,"Schulze, T., Ahel, M., Ahlheim, J., Aït-Aïssa, S., Brion, F., Di Paolo, C., Froment, J., Hidasi, A.O., Hollender, J., Hollert, H., Hu, M., Kloß, A., Koprivica, S., Krauss, M., Muz, M., Oswald, P., Petre, M., Schollée, J.E., Seiler, T.-B., Shao, Y., Slobodnik, J., Sonavane, M., Suter, M.J.-F., Tollefsen, K.E., Tousova, Z., Walz, K.-H., Brack, W., 2017. Assessment of a novel device for onsite integrative large-volume solid phase extraction of water samples to enable a comprehensive chemical and effect-based analysis. Sci. Total Environ. 581-582, 350–358. doi:10.1016/j.scitotenv.2016.12.140"
2,1,11124A1,54,"","Brno-Modřice, WWTP effluent",NR,NR,NR,NR,49.1245056N,16.6291389E,2,NR,1,"",1,1,"",19,8,2013,13,45,0,0.00,2,"",Svratka,Danube,NR,18,"",0.3,NR,NR,NR,NR,NR,NR,NR,NA,"Schulze, T., Ahel, M., Ahlheim, J., Aït-Aïssa, S., Brion, F., Di Paolo, C., Froment, J., Hidasi, A.O., Hollender, J., Hollert, H., Hu, M., Kloß, A., Koprivica, S., Krauss, M., Muz, M., Oswald, P., Petre, M., Schollée, J.E., Seiler, T.-B., Shao, Y., Slobodnik, J., Sonavane, M., Suter, M.J.-F., Tollefsen, K.E., Tousova, Z., Walz, K.-H., Brack, W., 2017. Assessment of a novel device for onsite integrative large-volume solid phase extraction of water samples to enable a comprehensive chemical and effect-based analysis. Sci. Total Environ. 581-582, 350–358. doi:10.1016/j.scitotenv.2016.12.140"
3,1,12114A1,188,"",Devínská Nová Ves,NR,NR,NR,NR,48.178588N,16.976744E,2,NR,1,"",1,3,"",21,8,2013,12,15,0,0.00,1,"",Morava,Danube,NR,18,"",0.2,NR,NR,NR,8.385,20.7,NR,575,NA,"Schulze, T., Ahel, M., Ahlheim, J., Aït-Aïssa, S., Brion, F., Di Paolo, C., Froment, J., Hidasi, A.O., Hollender, J., Hollert, H., Hu, M., Kloß, A., Koprivica, S., Krauss, M., Muz, M., Oswald, P., Petre, M., Schollée, J.E., Seiler, T.-B., Shao, Y., Slobodnik, J., Sonavane, M., Suter, M.J.-F., Tollefsen, K.E., Tousova, Z., Walz, K.-H., Brack, W., 2017. Assessment of a novel device for onsite integrative large-volume solid phase extraction of water samples to enable a comprehensive chemical and effect-based analysis. Sci. Total Environ. 581-582, 350–358. doi:10.1016/j.scitotenv.2016.12.140"
4,1,12124A1,188,"",Devínská Nová Ves,NR,NR,NR,NR,48.178588N,16.976744E,2,NR,1,"",1,1,"",21,8,2013,14,0,0,0.00,2,"",Morava,Danube,NR,18,"",0.2,NR,NR,NR,NR,NR,NR,NR,NA,"Schulze, T., Ahel, M., Ahlheim, J., Aït-Aïssa, S., Brion, F., Di Paolo, C., Froment, J., Hidasi, A.O., Hollender, J., Hollert, H., Hu, M., Kloß, A., Koprivica, S., Krauss, M., Muz, M., Oswald, P., Petre, M., Schollée, J.E., Seiler, T.-B., Shao, Y., Slobodnik, J., Sonavane, M., Suter, M.J.-F., Tollefsen, K.E., Tousova, Z., Walz, K.-H., Brack, W., 2017. Assessment of a novel device for onsite integrative large-volume solid phase extraction of water samples to enable a comprehensive chemical and effect-based analysis. Sci. Total Environ. 581-582, 350–358. doi:10.1016/j.scitotenv.2016.12.140"
5,1,13114A1,188,"",Bratislava,NR,NR,NR,NR,48.1370181N,17.1046172E,2,NR,1,"",1,3,"",21,8,2013,16,50,0,0.00,1,"",Danube,Danube,NR,18,"",0.4,NR,NR,NR,8.367,21.1,NR,376,NA,"Schulze, T., Ahel, M., Ahlheim, J., Aït-Aïssa, S., Brion, F., Di Paolo, C., Froment, J., Hidasi, A.O., Hollender, J., Hollert, H., Hu, M., Kloß, A., Koprivica, S., Krauss, M., Muz, M., Oswald, P., Petre, M., Schollée, J.E., Seiler, T.-B., Shao, Y., Slobodnik, J., Sonavane, M., Suter, M.J.-F., Tollefsen, K.E., Tousova, Z., Walz, K.-H., Brack, W., 2017. Assessment of a novel device for onsite integrative large-volume solid phase extraction of water samples to enable a comprehensive chemical and effect-based analysis. Sci. Total Environ. 581-582, 350–358. doi:10.1016/j.scitotenv.2016.12.140"
6,1,13124A1,188,"",Bratislava,NR,NR,NR,NR,48.1370181N,17.1046172E,2,NR,1,"",1,1,"",21,8,2013,19,0,0,0.00,2,"",Danube,Danube,NR,18,"",0.4,NR,NR,NR,NR,NR,NR,NR,NA,"Schulze, T., Ahel, M., Ahlheim, J., Aït-Aïssa, S., Brion, F., Di Paolo, C., Froment, J., Hidasi, A.O., Hollender, J., Hollert, H., Hu, M., Kloß, A., Koprivica, S., Krauss, M., Muz, M., Oswald, P., Petre, M., Schollée, J.E., Seiler, T.-B., Shao, Y., Slobodnik, J., Sonavane, M., Suter, M.J.-F., Tollefsen, K.E., Tousova, Z., Walz, K.-H., Brack, W., 2017. Assessment of a novel device for onsite integrative large-volume solid phase extraction of water samples to enable a comprehensive chemical and effect-based analysis. Sci. Total Environ. 581-582, 350–358. doi:10.1016/j.scitotenv.2016.12.140"
7,1,14114A1,91,"",Szob,NR,NR,NR,NR,47.8152419N,18.8646239E,2,NR,1,"",1,3,"",22,8,2013,11,40,0,0.00,1,"",Danube,Danube,NR,18,"",0.25,NR,NR,NR,8.336,22.1,NR,410,NA,"Schulze, T., Ahel, M., Ahlheim, J., Aït-Aïssa, S., Brion, F., Di Paolo, C., Froment, J., Hidasi, A.O., Hollender, J., Hollert, H., Hu, M., Kloß, A., Koprivica, S., Krauss, M., Muz, M., Oswald, P., Petre, M., Schollée, J.E., Seiler, T.-B., Shao, Y., Slobodnik, J., Sonavane, M., Suter, M.J.-F., Tollefsen, K.E., Tousova, Z., Walz, K.-H., Brack, W., 2017. Assessment of a novel device for onsite integrative large-volume solid phase extraction of water samples to enable a comprehensive chemical and effect-based analysis. Sci. Total Environ. 581-582, 350–358. doi:10.1016/j.scitotenv.2016.12.140"
8,1,14124A1,91,"",Szob,NR,NR,NR,NR,47.8152419N,18.8646239E,2,NR,1,"",1,1,"",22,8,2013,14,0,0,0.00,2,"",Danube,Danube,NR,18,"",0.25,NR,NR,NR,NR,NR,NR,NR,NA,"Schulze, T., Ahel, M., Ahlheim, J., Aït-Aïssa, S., Brion, F., Di Paolo, C., Froment, J., Hidasi, A.O., Hollender, J., Hollert, H., Hu, M., Kloß, A., Koprivica, S., Krauss, M., Muz, M., Oswald, P., Petre, M., Schollée, J.E., Seiler, T.-B., Shao, Y., Slobodnik, J., Sonavane, M., Suter, M.J.-F., Tollefsen, K.E., Tousova, Z., Walz, K.-H., Brack, W., 2017. Assessment of a novel device for onsite integrative large-volume solid phase extraction of water samples to enable a comprehensive chemical and effect-based analysis. Sci. Total Environ. 581-582, 350–358. doi:10.1016/j.scitotenv.2016.12.140"
9,7,40214A1,75,"",UFZ Laboratory,NR,NR,NR,NR,NA,NA,2,NR,1,"",1,3,"",11,7,2013,0,0,0,0.00,1,"",NA,"",NR,18,"",NR,NR,NR,NR,NR,NR,NR,NR,NA,"Schulze, T., Ahel, M., Ahlheim, J., Aït-Aïssa, S., Brion, F., Di Paolo, C., Froment, J., Hidasi, A.O., Hollender, J., Hollert, H., Hu, M., Kloß, A., Koprivica, S., Krauss, M., Muz, M., Oswald, P., Petre, M., Schollée, J.E., Seiler, T.-B., Shao, Y., Slobodnik, J., Sonavane, M., Suter, M.J.-F., Tollefsen, K.E., Tousova, Z., Walz, K.-H., Brack, W., 2017. Assessment of a novel device for onsite integrative large-volume solid phase extraction of water samples to enable a comprehensive chemical and effect-based analysis. Sci. Total Environ. 581-582, 350–358. doi:10.1016/j.scitotenv.2016.12.140"
10,8,21114A1,51,"","Otok Samoborski, Samobor",NR,NR,NR,NR,45.843083N,15.729167E,2,NR,1,"",1,3,"",31,8,2013,17,40,0,0.00,1,"",Sava,Sava,NR,18,"",0.3,NR,NR,NR,8.6,22.73,NR,41,NA,"Schulze, T., Ahel, M., Ahlheim, J., Aït-Aïssa, S., Brion, F., Di Paolo, C., Froment, J., Hidasi, A.O., Hollender, J., Hollert, H., Hu, M., Kloß, A., Koprivica, S., Krauss, M., Muz, M., Oswald, P., Petre, M., Schollée, J.E., Seiler, T.-B., Shao, Y., Slobodnik, J., Sonavane, M., Suter, M.J.-F., Tollefsen, K.E., Tousova, Z., Walz, K.-H., Brack, W., 2017. Assessment of a novel device for onsite integrative large-volume solid phase extraction of water samples to enable a comprehensive chemical and effect-based analysis. Sci. Total Environ. 581-582, 350–358. doi:10.1016/j.scitotenv.2016.12.140"
