id,name,ordering
"1","AhR-CALUX®","0"
"2","AR/GR-MDA-kb2","0"
"3","ARE-bla ME-180","0"
"4","AREc32","0"
"5","AR-UAS-bla Griptite™","0"
"6","CCALA 433","0"
"7","ERalpha-UAS-bla Griptite™","0"
"8","ER-MELN","0"
"9","GH3-TRE","0"
"10","GR-UAS-bla HEK-293T ","0"
"11","H4IIE-GFP - CAFLUX","0"
"12","HG5LN-hPXR ","0"
"13","HRE-bla ME-180","0"
"14","NFkappaB-bla THP1 ","0"
"15","p53RE-bla HCT-116 ","1"
"16","PPARγ-UAS-bla HEK-293T","2"
"17","PR-UAS-bla HEK-293T","0"
"18","RTL-W1","0"
"19","TA 100","0"
"20","TA 100 + S9","0"
"21","TA 98","0"
"22","TA 98 + S9","0"
"23","TA1535","0"
"24","TA1538","0"
"25","TA9","0"
"26","THbZIP-GFP Xenopus laevis tadpoles","0"
"27","TRβ-UAS-bla HEK-293T ","0"
"28","U2-OS (GR-CALUX®)","0"
"29","YG1041","0"
"30","YG5185","0"
"31","YG7108","0"
"32","ZFL","0"
"33","ZFL","0"
"34","ZFL- zfERbeta2","0"
"35","ZFL-ERalpha","0"
"36","NA","1"
"37","NR","2"
"38","Other","3"
"39","Raphidocelis subcapitata","0"
"40","AhR-CAFLUX (H4IIE)","0"
"41","H4IIE.luc","0"
