id,name,ordering
"1","Afghanistan","0"
"2","Albania","0"
"3","Algeria","0"
"4","American Samoa","0"
"5","Andorra","0"
"6","Angola","0"
"7","Anguilla","0"
"8","Antigua and Barbuda","0"
"9","Argentina","0"
"10","Armenia","0"
"11","Aruba","0"
"12","Australia","0"
"13","Austria","0"
"14","Azerbaijan","0"
"15","Bahamas","0"
"16","Bahrain","0"
"17","Bangladesh","0"
"18","Barbados","0"
"19","Belarus","0"
"20","Belgium","0"
"21","Belize","0"
"22","Benin","0"
"23","Bermuda","0"
"24","Bhutan","0"
"25","Bolivia","0"
"26","Bosnia-Herzegovina","0"
"27","Botswana","0"
"28","Bouvet Island","0"
"29","Brazil","0"
"30","Brunei","0"
"31","Bulgaria","0"
"32","Burkina Faso","0"
"33","Burundi","0"
"34","Cambodia","0"
"35","Cameroon","0"
"36","Canada","0"
"37","Cape Verde","0"
"38","Cayman Islands","0"
"39","Central African Republic","0"
"40","Chad","0"
"41","Chile","0"
"42","China","0"
"43","Christmas Island","0"
"44","Cocos (Keeling) Islands","0"
"45","Colombia","0"
"46","Comoros","0"
"47","Congo, Democratic Republic of the (Zaire)","0"
"48","Congo, Republic of","0"
"49","Cook Islands","0"
"50","Costa Rica","0"
"51","Croatia","0"
"52","Cuba","0"
"53","Cyprus","0"
"54","Czech Republic","0"
"55","Denmark","0"
"56","Djibouti","0"
"57","Dominica","0"
"58","Dominican Republic","0"
"59","Ecuador","0"
"60","Egypt","0"
"61","El Salvador","0"
"62","Equatorial Guinea","0"
"63","Eritrea","0"
"64","Estonia","0"
"65","Ethiopia","0"
"66","Falkland Islands","0"
"67","Faroe Islands","0"
"68","Fiji","0"
"69","Finland","0"
"70","France","0"
"71","French Guiana","0"
"72","Gabon","0"
"73","Gambia","0"
"74","Georgia","0"
"75","Germany","0"
"76","Ghana","0"
"77","Gibraltar","0"
"78","Greece","0"
"79","Greenland","0"
"80","Grenada","0"
"81","Guadeloupe (French)","0"
"82","Guam (USA)","0"
"83","Guatemala","0"
"84","Guinea","0"
"85","Guinea Bissau","0"
"86","Guyana","0"
"87","Haiti","0"
"88","Holy See","0"
"89","Honduras","0"
"90","Hong Kong","0"
"91","Hungary","0"
"92","Iceland","0"
"93","India","0"
"94","Indonesia","0"
"95","Iran","0"
"96","Iraq","0"
"97","Ireland","0"
"98","Israel","0"
"99","Italy","0"
"100","Ivory Coast (Cote D`Ivoire)","0"
"101","Jamaica","0"
"102","Japan","0"
"103","Jordan","0"
"104","Kazakhstan","0"
"105","Kenya","0"
"106","Kiribati","0"
"107","Kuwait","0"
"108","Kyrgyzstan","0"
"109","Laos","0"
"110","Latvia","0"
"111","Lebanon","0"
"112","Lesotho","0"
"113","Liberia","0"
"114","Libya","0"
"115","Liechtenstein","0"
"116","Lithuania","0"
"117","Luxembourg","0"
"118","Macau","0"
"119","Macedonia","0"
"120","Madagascar","0"
"121","Malawi","0"
"122","Malaysia","0"
"123","Maldives","0"
"124","Mali","0"
"125","Malta","0"
"126","Marshall Islands","0"
"127","Martinique (French)","0"
"128","Mauritania","0"
"129","Mauritius","0"
"130","Mayotte","0"
"131","Mexico","0"
"132","Micronesia","0"
"133","Moldova","0"
"134","Monaco","0"
"135","Mongolia","0"
"136","Montenegro","0"
"137","Montserrat","0"
"138","Morocco","0"
"139","Mozambique","0"
"140","Myanmar","0"
"141","Namibia","0"
"142","Nauru","0"
"143","Nepal","0"
"144","Netherlands","0"
"145","Netherlands Antilles","0"
"146","New Caledonia (French)","0"
"147","New Zealand","0"
"148","Nicaragua","0"
"149","Niger","0"
"150","Nigeria","0"
"151","Niue","0"
"152","Norfolk Island","0"
"153","North Korea","0"
"154","Northern Mariana Islands","0"
"155","Norway","0"
"156","Oman","0"
"157","Pakistan","0"
"158","Palau","0"
"159","Panama","0"
"160","Papua New Guinea","0"
"161","Paraguay","0"
"162","Peru","0"
"163","Philippines","0"
