id,name,ordering
"1","2-Aminoanthracene","0"
"2","2-aminoanthracene (2-AA)","0"
"3","3,4-dichloroaniline","0"
"4","3,5-dichlorophenol","0"
"5","4-nitro-o-phenylenediamine (4-NOPD)","0"
"6","4-Nitroquinoline 1-oxide","0"
"7","Benzo(a)pyrene","0"
"8","Copper sulphate CuSO4","0"
"9","Dexamethasone","0"
"10","Dihydrotestosteron - DHT","0"
"11","Dichlorvos","0"
"12","Diuron","0"
"13","Estradiol","0"
"14","Flutamide","0"
"15","ICI178,872","0"
"16","Nitrofurantoin (NF)","0"
"17","no","0"
"18","OH-tamoxifen","0"
"19","Paraquat","0"
"20","Parathion/Paraoxon","0"
"21","Phenol","0"
"22","Potassium dichromate K2Cr2O4","0"
"23","SR12813","0"
"24","T3/ T3+T4","0"
"25","tBHQ","0"
"26","TCDD","0"
"27","TNFa","0"
"28","Triiodothyronine","0"
"29","NA","1"
"30","NR","2"
"31","Other","3"
