matrice_id,matrice_id1,matrice_id2,matrice_id3,matrice_title1,matrice_title2,matrice_title3,matrice_title,matrice_sheet,matrice_unit,matrice_dct,matrice_dct_name,matrice_prior_id,matrice_prior_name,matrice_scenar_a_id,matrice_scenar_a_name,matrice_scenar_b_id,matrice_scenar_b_name,matrice_scenar_c_id,matrice_scenar_c_name,matrice_scenar_d_id,matrice_scenar_d_name
1,1,0,0,Water,"","","",0,µg/l,1,Surface water,0,"",0,"",0,"",0,"",0,""
2,1,1,8,Water,Surface water,Sea water,Surface water - Sea water,12,µg/l,1,Surface water,0,"",0,"",0,"",0,"",0,""
3,1,1,1,Water,Surface water,River water,Surface water - River water,1,µg/l,1,Surface water,1,Surface fresh water,1,Fresh water,1,Water fresh water,1,Surface fresh water,1,Surface water
4,1,1,2,Water,Surface water,Lake water,Surface water - Lake water,2,µg/l,1,Surface water,1,Surface fresh water,1,Fresh water,1,Water fresh water,1,Surface fresh water,1,Surface water
5,1,1,3,Water,Surface water,Transitional water,Surface water - Transitional water,3,µg/l,1,Surface water,2,Marine water,2,Marine water,4,Water marine,2,Marine water,1,Surface water
6,1,1,4,Water,Surface water,Coastal water,Surface water - Coastal water,4,µg/l,1,Surface water,2,Marine water,2,Marine water,4,Water marine,2,Marine water,1,Surface water
7,1,1,5,Water,Surface water,Territorial (marine) water,Surface water - Territorial (marine) water,5,µg/l,1,Surface water,2,Marine water,2,Marine water,4,Water marine,2,Marine water,1,Surface water
8,1,1,6,Water,Surface water,Reservoirs,Surface water - Reservoirs,6,µg/l,1,Surface water,1,Surface fresh water,1,Fresh water,1,Water fresh water,1,Surface fresh water,1,Surface water
9,1,1,7,Water,Surface water,Other,Surface water - Other,7,µg/l,1,Surface water,0,"",0,"",0,"",0,"",0,""
10,1,2,0,Water,Ground water,"",Ground water,8,µg/l,2,Ground water,3,Ground water,3,Ground water,0,"",3,Ground water,0,""
11,1,3,0,Water,Waste water,Urban,Waste water - Urban,0,µg/l,3,Waste water,0,"",0,"",0,"",0,"",0,""
12,1,3,1,Water,Waste water,Industrial,Waste water - Industrial,9,µg/l,3,Waste water,1,Surface fresh water,4,Waste water,1,Water fresh water,1,Surface fresh water,1,Surface water
13,1,3,2,Water,Waste water,Municipal,Waste water - Municipal,10,µg/l,3,Waste water,1,Surface fresh water,4,Waste water,1,Water fresh water,1,Surface fresh water,1,Surface water
14,1,3,6,Water,Waste water,Other,Waste water - Other,14,µg/l,3,Waste water,0,"",4,Waste water,1,Water fresh water,1,Surface fresh water,1,Surface water
15,2,0,0,Sediments,"","","",0,µg/kg dry weight,4,Sediments,0,"",0,"",0,"",0,"",0,""
