id,name,description,image_path,code,dashboard_route_name,last_update,number_of_records,created_at,updated_at,parent_id,show_in_dashboard,has_templates
4,Suspect List Exchange,Central Database to access various lists of substances for suspect screening and prioritisation,fa fa-tasks,sle,slehome.index,,124,2024-12-01 17:41:28,2025-04-20 11:01:17,,true,true
5,Antibiotic Resistant Bacteria/Genes,A database of ARBs/ARGs in environmental matrices,fas fa-bacterium,arbg,arbghome.index,,3741,2024-12-01 17:41:28,2025-05-06 18:45:05,,true,true
6,MassBank Europe,A database of mass spectra of emerging substances to support identification of unknown substances,fa fa-balance-scale,enpty_code,https://massbank.eu/MassBank/,,,2024-12-01 17:41:28,2024-12-01 17:41:28,,true,true
7,Digital Sample Freezing Platform,A database of mass chromatograms obtained by LC-HR-MS for retrospective screening of environmental samples,fa fa-cog,enpty_code,https://dsfp.norman-data.eu/,,,2024-12-01 17:41:28,2024-12-01 17:41:28,,true,true
8,Indoor Environment,A database of data in indoor environment matrices,fa fa-home,indoor,indoorhome.index,,177600,2024-12-01 17:41:28,2025-04-26 10:59:26,,true,true
9,Passive Sampling,A database of data obtained with passive samplers,fa fa-cogs,passive,passivehome.index,,4213,2024-12-01 17:41:28,2025-04-26 14:17:55,,true,true
11,Prioritisation,Results of prioritisation of NORMAN substances using the NORMAN Prioritisation Framework,fa-regular fa-chart-bar,prioritisation,prioritisationhome.index,,3920,2024-12-01 17:41:28,2025-04-30 18:08:02,,true,true
12,Bioassays Monitoring Data,A database of data obtained by analysis of environmental samples with bioassayss,fa fa-desktop,bioassay,bioassayhome.index,,403,2024-12-01 17:41:28,2025-05-19 19:17:38,,true,true
13,SARS-CoV-2 in sewage,"A database with the information on SARS-CoV-2 in sewage across Europe; including a common protocol for sample collection, storage, extraction, analysis and data sharing to support the development of an international comparable data set.",fas fa-virus,sars,sars.home.index,,1188,2025-01-31 14:17:09,2025-01-31 14:17:10,,true,true
2,Chemical Occurrence Data,A database of geo-referenced monitoring data on emerging substances,fa fa-share-alt,empodat,codhome.index,,97240351,2024-12-01 17:41:28,2025-05-30 14:43:55,,true,true
1,Substance Database,A merged list of NORMAN substances; Central Database to access various lists of substances for suspect screening and prioritisation,fa fa-database,susdat,substances.filter,2025-05-30 12:09:24,120978,2024-12-01 17:41:28,2025-05-30 14:43:55,,true,true
3,Ecotoxicology,A platform for systematic collection and evaluation of ecotoxicity studies for harmonised derivation of environmental quality standards,fa fa-heartbeat,ecotox,ecotoxhome.index,2025-05-30 12:11:35,175009,2024-12-01 17:41:28,2025-08-26 08:57:13,,true,true
14,Antibiotic Resistant Bacteria/Genes,A database of ARBs/ARGs in environmental matrices,fas fa-bacterium,arbg.bacteria,arbghome.index,,95,2024-12-01 17:41:28,2025-05-06 18:45:03,5,false,false
16,Ecotoxicology,A platform for systematic collection and evaluation of ecotoxicity studies for harmonised derivation of environmental quality standards,fa fa-heartbeat,ecotox.ecotox,ecotoxhome.index,,81430,2024-12-01 17:41:28,2025-08-26 08:57:13,3,false,false
15,Antibiotic Resistant Bacteria/Genes,A database of ARBs/ARGs in environmental matrices,fas fa-bacterium,arbg.gene,arbghome.index,,3646,2024-12-01 17:41:28,2025-05-06 18:45:01,5,false,false
10,Substance Factsheets,A summary information on individual substances from all NORMAN Database System modules,fas fa-calculator,factsheets,factsheets.home.index,,,2024-12-01 17:41:28,2024-12-01 17:41:28,,true,false
