list_id,list_title,list_file,list_name,list_date,list_analysis_from,list_analysis_to,list_analysis_number,list_source_from,list_source_to,list_source_number,list_method_from,list_method_to,list_method_number,list_type,list_note,matrice_dct,list_deleted,list_common,list_protected,list_hash,list_organisation,list_email,list_author,list_data_accessibility,list_doi,list_description,list_project_id
259,WW JDS4 DANUBERIVER UoA 15052020 v2,DCT_WW_JDS4_DANUBERIVER_UoA_15052020_v2.xlsb,DCT_WW_JDS4_DANUBERIVER_UoA_15052020_v2,2020-09-11,13146734,13197905,51171,13146734,13146734,1,13146734,13146945,212,Waste water,,3,0,,0,4bf8cebbc3b02fd9d778c6a87d0c34c1,National and Kapodistrian University of Athens,ntho@chem.uoa.gr,Nikolaos Thomaidis,,,,5
278,WW Norway Screening 2016 NEA 2016,DCT_WW_Norway_Screening 2016_NEA_2016.xlsb,DCT_WW_Norway_Screening 2016_NEA_2016,2020-11-18,13420413,13421717,1305,13420413,13420413,1,13420413,13420573,161,Waste water,,3,0,,0,9ce017e98ecef4f05ae3655739f5a79f,Norwegian Environment Agency,"","",,,,
284,WW JDS4 DANUBERIVER UBA 15102019,DCT_WW_JDS4_DANUBERIVER_UBA_15102019.xlsb,DCT_WW_JDS4_DANUBERIVER_UBA_15102019,2020-12-03,13460658,13460811,154,13460658,13460658,1,13460658,13460661,4,Waste water,,3,0,,0,1eaf01410c6186db1948ff6fc0c4aa8e,UBAAT - Umweltbundesamt GmbH,ruefstelle@umweltbundesamt.at,"",,10.60954/empodat.vmze-qz12,,5
286,WW UFZ NORMAN WWTP Study 210212 v2,DCT_waste_water_NORMAN_WWTP_UFZ_LMX_210212_v2.xlsb,DCT_WW_UFZ_NORMAN WWTP Study_210212_v2,2021-03-04,13614041,13642483,28443,13614041,13614041,1,13614041,13614090,50,Waste water,,3,0,,0,c917c076486d35ed74821e7d8f7cc901,"Helmholtz Centre for Environmental Research (UFZ), DE",saskia.finckh@ufz.de,Saskia Finckh,,,,
287,WW COSMETEAU LEESU 2018 2019,DCT_WW_COSMETEAU_LEESU_2018_2019.xlsx,DCT_WW_COSMETEAU_LEESU_2018_2019,2021-03-11,13642484,13643239,756,13642484,13642484,1,13642484,13642537,54,Waste water,,3,0,,0,89aecc926f6bd22deb46c6cc40ec7774,COSMETEAU,claudia.paijens@siaap.fr,Claudia Paijens,,,,
288,WW REMPAR LPTC 2015 2018 v2,DCT_WW_REMPAR__LPTC_2015_2018_v2.xlsb,DCT_WW_REMPAR__LPTC_2015_2018_v2,2021-03-13,13643240,13649845,6606,13643240,13643240,1,13643240,13643334,95,Waste water,,3,0,,0,28e534f496ef6cdeb549d536f9d81e03,REMPAR,jp.besse@siba-bassin-arcachon.fr,Jean-Philippe Besse,,,,
289,WW REGARD LPTC 2014 2018,DCT_WW_REGARD_LPTC_2014_2018.xlsx,DCT_WW_REGARD_LPTC_2014_2018,2021-03-14,13649846,13658971,9126,13649846,13649846,1,13649846,13649937,92,Waste water,,3,1,,0,55c9aa1318d26e00a0c5baa4d392cf6b,,,,,,,
290,WW SENEUR LPTC 2018,DCT_WW_SENEUR_LPTC_2018.xlsx,DCT_WW_SENEUR_LPTC_2018,2021-03-14,13658972,13660433,1462,13658972,13658972,1,13658972,13659018,47,Waste water,,3,1,,0,6629db3f02bf13cf8cb824149a2e99c7,,,,,,,
291,WW REGARD LPTC 2014 2018 v3,DCT_WW_REGARD_LPTC_2014_2018_v3.xlsb,DCT_WW_REGARD_LPTC_2014_2018_v3,2021-04-23,13649846,13656576,6731,13649846,13649846,1,13649846,13649929,84,Waste water,,3,0,,0,ea635ade9d4101ed1bf8649df86a19fe,Regard,marion-justine.capdeville@suez.com,Marion-Justine Capdeville,,,,
292,WW SENEUR LPTC 2018 v2,DCT_WW_SENEUR_LPTC_2018_v2.xlsb,DCT_WW_SENEUR_LPTC_2018_v2,2021-04-23,13656577,13658027,1451,13656577,13656577,1,13656577,13656621,45,Waste water,,3,0,,0,154623138a7852f92c6de8ea55d7412a,,,,,,,
300,WW ANSWER GERMANCAMPAIGN 2018 UoA 29072021 v1,DCT_WW_UBA_GERMANCAMPAIGN_UoA_29072021_v1.xlsb,DCT_WW_ANSWER_GERMANCAMPAIGN 2018_UoA_29072021_v1,2021-08-01,13818399,13898128,79730,13818399,13818400,2,13818399,13818640,242,Waste water,,3,0,,0,604c4ff27d21dbd1ef5a476237c038ba,National and Kapodistrian University of Athens,ntho@chem.uoa.gr,Nikolaos Thomaidis,,,,
404,6rbmp 1st WW,6rbmp_1st_WW,6rbmp_1st_WW,2024-05-01,102230655,111517240,9286586,102230655,102230655,1,102230655,102233201,2547,Waste water,this is not empodata data,3,1,,6rbmp,3f4171edead55720301052fefae210bc,Environmental Reference Laboratory,mevlana.karakaya@csb.gov.tr,Mevlana Karakaya,,,,
406,6rbmp 2nd WW,6rbmp_2nd_WW,6rbmp_2nd_WW,2024-05-01,118218901,142249138,24030238,118218901,118218901,1,118218901,118221456,2556,Waste water,this is not empodata data,3,1,,6rbmp,27002281f8a79a32ff208b92851b153a,Environmental Reference Laboratory,mevlana.karakaya@csb.gov.tr,Mevlana Karakaya,,,,
408,6rbmp 3rd WW,6rbmp_3rd_WW,6rbmp_3rd_WW,2024-05-01,148950799,158716074,9765276,148950799,148950799,1,148950799,101267396,2501,Waste water,this is not empodata data,3,1,,6rbmp,5a01abd667f49e8f55a438b40db98d87,Environmental Reference Laboratory,mevlana.karakaya@csb.gov.tr,Mevlana Karakaya,,,,
177,WW JDS3 LFU 26112018,JDS3_Final.xlsx,DCT_WW_JDS3_LFU_26112018,2018-11-26,12061597,12104240,118,12061597,12061613,0,12061597,12061863,0,Waste water,,3,0,176,0,b314a840c0252c352fcfe5d231531033,Bavarian Environment Agency,juergen.diemer@lfu.bayern.de,"",,,,4
185,WW ANSWER UoA 12062019 v3,ANSWER DCT_WATER individual data_v3_NIKIFOROS ESR15 ANSWER.xlsx,DCT_WW_ANSWER_UoA_12062019_v3,2019-06-12,12155186,12156841,1656,12155186,12155186,1,12155186,12155323,138,Waste water,,3,0,,0,689f90a02338b1445fc1ffc3aa0a400d,"Environmental Institute, s.r.o. (EI), SK",alygizakis@ei.sk,Nikiforos A. Alygizakis,,,,
203,WW SOLUTIONS Danube UoA 102017,DCT_WW_ SOLUTIONS_Danube_UoA_102017.xlsx,DCT_WW_ SOLUTIONS_Danube_UoA_102017,2020-02-14,12549146,12574225,25080,12549146,12549146,1,12549146,12549246,101,Waste water,,3,0,,0,a97a588a5426e30c42f4d2c7f5e65fc0,,,Nikiforos A. Alygizakis,,,,17
