list_project_id,list_project_title,list_project_description,list_project_publications,list_project_links
1,LIFE APEX,"LIFE APEX organised the development and maintenance of various web-based databases for the collection & evaluation of data / information on emerging substances in the top predators and their prey. The aim of LIFE APEX was: Systematic use of contaminant data from apex predators and their prey in chemicals management is to improve systematic use, by regulators, of chemical monitoring data from apex predators and prey ('AP&P') for better chemicals management, thereby reducing exposure to harmful substances and protecting human health and the environment. The objectives of LIFE APEX: 
<ol>
<li>To demonstrate four novel, regulatory applications of chemical monitoring data from apex predators and their prey (AP&P).</li>
<li>To support and sustain regulatory take-up of these applications.</li>
<li>To replicate and transfer LIFE APEX approaches and methods with partners across Europe.</li>
<li>To disseminate and communicate the LIFE APEX approaches and methods and in particular optimize uptake by regulators and industry.</li>
</ol>","<li>Paola Movalli et al: High Resolution Mass Spectrometric Suspect Screening, Wide-Scope Target Analysis of Emerging Contaminants and Determination of Legacy Pollutants in Adult Western Black-Tailed Godwit Limosa Limosa Limosa in the Netherlands – a Pilot Study, January 2022, SSRN Electronic Journal, DOI: 10.2139/ssrn.4170476</li>
<li>G. Treu, J. Slobodnik, N. Alygizakis, A. Badry, D. Bunke, A. Cincinelli, D. Claßen, R. W. R. J. Dekker, B. Göckener, G. Gkotsis, G. Hanke, G. Duke, M. Jartun, P. Movalli, M.‐C. Nika, H. Rüdel, J. V. Tarazona, N. S. Thomaidis, V. Tornero, K. Vorkamp, L. A. Walker, J. Koschorreck, Valeria Dulio, Using environmental monitoring data from apex predators for chemicals management: towards better use of monitoring data from apex predators in support of prioritisation and risk assessment of chemicals in Europe, Environmental Sciences Europe (2022), Volume 34, DOI: 10.1186/s12302-022-00665-5</li>
<li>A. Badry, J. Slobodnik, N. Alygizakis, D. Bunke, A. Cincinelli, D. Claßen, R. W. R. J. Dekker, G. Duke, V. Dulio, B. Göckener, G. Gkotsis, G. Hanke, M. Jartun, P. Movalli, M.‐C. Nika, H. Rüdel, N. S. Thomaidis, J. V. Tarazona, V. Tornero, G. Treu, K. Vorkamp, L. A. Walker, J. Koschorreck, Using environmental monitoring data from apex predators for chemicals management: towards harmonised sampling and processing of archived wildlife samples to increase the regulatory uptake of monitoring data in chemicals management, Environmental Sciences Europe (2022), Volume 34, DOI: 10.1186/s12302-022-00664-6</li>
<li>V. Dulio, P.C. von der Ohe, NORMAN Prioritisation Framework for emerging substances. NORMAN Association (2013), ISBN: 978-2-9545254-0-2</li>
","<li><a href=""https://www.norman-network.com/apex/"" target=""_blank"">https://www.norman-network.com/apex/</a></li>"
2,JDS1,"With the view to obtaining a complex picture of the water quality in the Danube and its major tributaries, the yearly assessment of water quality published in TNMN Yearbooks has been supplemented by periodic investigative surveys, which are carried out every six years in sync with the river basin management planning period according to the EU WFD. The first Joint Danube Survey was carried out in 2001. For the first time, comparable data about the entire course of the river was provided covering over 140 different biological, chemical and bacteriological parameters. This data was used as an essential information source for the first analysis of the Danube River Basin District according to Art. 5 of the EU WFD.","<li>V. Dulio, P.C. von der Ohe, NORMAN Prioritisation Framework for emerging substances. NORMAN Association (2013), ISBN: 978-2-9545254-0-2</li>
<li>N.A. Alygizakis, et al: NORMAN Digital Sample Freezing Platform: A European virtual platform to exchange liquid chromatography high resolution-mass spectrometry data and screen suspects in “digitally frozen” environmental samples, April 2019, TrAC Trends in Analytical Chemistry 115, DOI: 10.1016/j.trac.2019.04.008, License CC BY-NC-ND 4.0 (Projects: Antibiotics and mobile resistance elements in wastewater reuse applications: risks and innovative solutions (ANSWER), Non Target Screening of Emerging Contaminants)</li>","<li>https://www.icpdr.org/library/publications/annual-reports</li>
<li>https://www.icpdr.org/</li>
<li>https://www.icpdr.org/library/publications/strategic-technical-documents</li>"
3,JDS2,"With the view to obtaining a complex picture of the water quality in the Danube and its major tributaries, the yearly assessment of water quality published in TNMN Yearbooks has been supplemented by periodic investigative surveys, which are carried out every six years in sync with the river basin management planning period according to the EU WFD. Six years later, the second Joint Danube Survey (JDS2) created a comprehensive and homogeneous database on the status of the aquatic ecosystem of the Danube and its major tributaries. For the first time, the fish survey was carried out along the entire Danube River, bringing a unique dataset and also contributing to methodological harmonization between EU and non-EU countries.<br>                                                                                                                                                         The findings of JDS2 contributed to the first Danube River Basin Management Plan and were used in the EU intercalibration process of large rivers.","<li>V. Dulio, P.C. von der Ohe, NORMAN Prioritisation Framework for emerging substances. NORMAN Association (2013), ISBN: 978-2-9545254-0-2</li>
<li>N.A. Alygizakis, et al: NORMAN Digital Sample Freezing Platform: A European virtual platform to exchange liquid chromatography high resolution-mass spectrometry data and screen suspects in “digitally frozen” environmental samples, April 2019, TrAC Trends in Analytical Chemistry 115, DOI: 10.1016/j.trac.2019.04.008, License CC BY-NC-ND 4.0 (Projects: Antibiotics and mobile resistance elements in wastewater reuse applications: risks and innovative solutions (ANSWER), Non Target Screening of Emerging Contaminants)</li>","<li>https://www.icpdr.org/library/publications/annual-reports</li>
<li>https://www.icpdr.org/</li>
<li>https://www.icpdr.org/library/publications/strategic-technical-documents</li>"
4,JDS3,"With the view to obtaining a complex picture of the water quality in the Danube and its major tributaries, the yearly assessment of water quality published in TNMN Yearbooks has been supplemented by periodic investigative surveys, which are carried out every six years in sync with the river basin management planning period according to the EU WFD.<br>
The third Joint Danube Survey (JDS3), which took place in 2013, provided the largest ever amount of knowledge about the Danube water pollution collected within a single scientific exercise. It reconfirmed that the Danube flora and fauna show a high degree of biodiversity. During JDS3, the depth of information on hydromorphological conditions was significantly improved, as in-situ measurements of hydrological, morphological and hydraulic characteristics were performed for the first time along the entire Danube and its tributaries. The first complex testing of antibiotic resistance was carried out along the entire stretch of the Danube River. Several new analytical techniques and strategies were applied targeting hundreds of organic substances, resulting in the most comprehensive information ever acquired on this topic for the Danube River. The analysis of such a large amount of organic substances enabled the first suggestions for the update and prioritization of Danube River Basin Specific Pollutants.","<li>V. Dulio, P.C. von der Ohe, NORMAN Prioritisation Framework for emerging substances. NORMAN Association (2013), ISBN: 978-2-9545254-0-2</li>
<li>N.A. Alygizakis, et al: NORMAN Digital Sample Freezing Platform: A European virtual platform to exchange liquid chromatography high resolution-mass spectrometry data and screen suspects in “digitally frozen” environmental samples, April 2019, TrAC Trends in Analytical Chemistry 115, DOI: 10.1016/j.trac.2019.04.008, License CC BY-NC-ND 4.0 (Projects: Antibiotics and mobile resistance elements in wastewater reuse applications: risks and innovative solutions (ANSWER), Non Target Screening of Emerging Contaminants)</li>
<li>B. Vrana, F. Smedes, T. Rusina, K. Okonski, I. Allan, M. Grung, K. Hilscherova, J. Novák, P. Tarábek and J. Slobodnik, Passive sampling: chemical analysis and toxicological profiling, in Joint Danube Survey 3. I. Liška, F. Wagner, M. Sengl, K. Deutsch, and J. Slobodník, Eds. Vienna: ICPDR – International Commission for the Protection of the Danube River (2015)</li>","<li>https://www.icpdr.org/library/publications/annual-reports</li>
<li>https://www.icpdr.org/</li>
<li>https://www.icpdr.org/library/publications/strategic-technical-documents</li>"
5,JDS4,"The key purpose of Joint Danube Surveys (JDS) is to produce reliable and comparable information on carefully selected elements of water quality for the length of the Danube River, including its major tributaries. Three Joint Danube Surveys have previously been conducted, in 2001, 2007, and 2013. The fourth of its kind, JDS4 was launched in June 2019 at sampling sites in 13 countries across the Danube River Basin. With the view to obtaining a complex picture of the water quality in the Danube and its major tributaries, the yearly assessment of water quality published in TNMN Yearbooks has been supplemented by periodic investigative surveys, which are carried out every six years in sync with the river basin management planning period according to the EU WFD. JDS4 was a milestone in the series of Joint Danube Surveys. The three past Surveys were based on a principle that a Core Team of leading experts did all the sampling and, in case of biology, microbiology and hydromorphology, analysis of samples too, while the national experts joined the Core Team only when in their respective country and mostly observed how the work was done (sometimes they provided assistance to the Core Team). JDS4 was organized the other way round: a significant part of the job during the survey (biology, hydromorphology, physico-chemical analyses) was accomplished by the national experts while 
the Core Team had a coordinating and advisory role to ensure coherence between the approaches used by the national experts. This approach, along with training workshops for each biological quality element organized prior to the survey, provided an excellent opportunity for harmonization and training in WFD- related monitoring giving this way the above-mentioned long-term key objective of JDS a prominent place.<br>
The sampling for analysis and screening of chemical pollutants and of environmental DNA was performed by special monitoring teams. JDS4 was organized on the Danube River including its major tributaries, with a sampling program focused on 51 sites nominated by the ICPDR experts. ","<li>I. Liška, F. Wagner, M. Sengl, K. Deutsch, J. Slobodník, M. Paunovic, (eds.) (2021). Joint Danube Survey 4 Scientific Report: A Shared Analysis of the Danube River. International Commission for the Protection of the Danube River, Vienna. ISBN: 978-3-200-07450-7</li>
<li>N.A. Alygizakis, et al: NORMAN Digital Sample Freezing Platform: A European virtual platform to exchange liquid chromatography high resolution-mass spectrometry data and screen suspects in “digitally frozen” environmental samples, April 2019, TrAC Trends in Analytical Chemistry 115, DOI: 10.1016/j.trac.2019.04.008, License CC BY-NC-ND 4.0 (Projects: Antibiotics and mobile resistance elements in wastewater reuse applications: risks and innovative solutions (ANSWER), Non Target Screening of Emerging Contaminants)</li>
<li>V. Dulio, P.C. von der Ohe, NORMAN Prioritisation Framework for emerging substances. NORMAN Association (2013), ISBN: 978-2-9545254-0-2</li>
<li>B. Vrana, F. Smedes, I. Allan, T. Rusina, K. Okonski, K. Hilscherová, J. Novák, P. Tarábek, J. Slobodník, Mobile dynamic passive sampling of trace organic compounds: Evaluation of sampler performance in the Danube River. Science of the Total Environment (2018), Volume 636, DOI: 10.1016/j.scitotenv.2018.03.242</li>
<li>Kelsey Ng, et al: Wide-scope target screening characterization of legacy and emerging contaminants in the Danube River Basin by liquid and gas chromatography coupled with high-resolution mass spectrometry, February 2023, Water Research Vol. 230, 119539, DOI: 10.1016/j.watres.2022.119539</li>
<li>C. Beggs, R. Mackie, B. Vrana, R. Prokeš, S. Ghorbani Gorji, B. Schulze, K. V. Thomas, J. F. Mueller, S. L. Kaserzon, Estimation of per- and poly-fluoroalkyl substances mass loads in the Danube River using passive sampling, Science of the Total Environment (2023), Volume 892, DOI: doi.org/10.1016/j.scitotenv.2023.164458</li>
<li>N.A. Alygizakis, et al: Characterization of wastewater effluents in the Danube River Basin with chemical screening, in vitro bioassays and antibiotic resistant genes analysis, April 2019, Environment International 127:420-429, DOI: 10.1016/j.envint.2019.03.060, License CC BY 4.0 (Projects: Antibiotics and mobile resistance elements in wastewater reuse applications: risks and innovative solutions (ANSWER), Non Target Screening of Emerging Contaminants, Water testing & Bioassays)</li>
<li>P. Louis, D. A.L. Vignati, S. Pontvianne, M.-N. Pons, Spatial distribution of Rare Earth Elements in a transnational watershed: The case of the Danube River, Science of the Total Environment (2023), Volume 892, DOI: doi.org/10.1016/j.scitotenv.2023.164368</li>","<li>https://www.icpdr.org/library/publications/annual-reports</li>
<li>https://www.icpdr.org/</li>
<li>https://www.icpdr.org/library/publications/strategic-technical-documents</li>"
6,EMBLAS,"EMBLAS was designed to tackle deficiencies and limitations in availability of accurate reliable and comparable marine data, as well as to build capacities of the countries to perform integrated environmental monitoring and assessment of the Black Sea according to the EU Marine Strategy Framework Directive (MSFD), EU Water Framework Directive (WFD) for the coastal zones and the needs of the Black Sea Strategic Action Plan (BS SAP). The aim of the project was to determine degree of contamination and the effects of pollution by hazardous substances in the Black Sea, mainly its Eastern (Georgian area) and Western (Ukrainian area) sides. An in-depth contamination survey was carried out based on the profiling of WFD priority substances (2013/39/EC) and the screening of potential Black Sea Specific Pollutants in different environmental compartments (seawater and sediments) and marine organisms (mussels and fish). Several analytical methods and novel techniques were applied for the analysis of the samples. Target, suspect and non-target screening approaches were followed for the detection of priority pollutants and emerging contaminants, while advanced software and sophisticated tools were used for results’ extraction and toxicity prediction. Moreover, the risk of the identified emerging contaminants on the aquatic environment was evaluated following the EU risk assessment quidelines (Directive 93/67/EEC, 1488/94/EC, Directive 98/8/EC). The overall objective of the project was to set up initiatives that will help improve the protection of the Black Sea environment. The project was  addressing the overall need for support in protection and restoring the environmental quality and sustainability of the Black Sea. The specific objectives were as follows: i) Improve availability and quality of data on the chemical and biological status of the Black Sea, in line with expected MSFD and Black Sea Strategic Action Plan needs; ii) Improve partner countries' ability to perform marine environmental monitoring along MSFD principles, taking into account the Black Sea Diagnostic Report (http://www.blacksea-commission.org/_publBSDiagnosticReport2010.asp). ","<li>V. Dulio, P.C. von der Ohe, NORMAN Prioritisation Framework for emerging substances. NORMAN Association (2013), ISBN: 978-2-9545254-0-2</li>
<li>N.A. Alygizakis, et al: NORMAN Digital Sample Freezing Platform: A European virtual platform to exchange liquid chromatography high resolution-mass spectrometry data and screen suspects in “digitally frozen” environmental samples, April 2019, TrAC Trends in Analytical Chemistry 115, DOI: 10.1016/j.trac.2019.04.008, License CC BY-NC-ND 4.0 (Projects: Antibiotics and mobile resistance elements in wastewater reuse applications: risks and innovative solutions (ANSWER), Non Target Screening of Emerging Contaminants)</li>","<li>https://emblasproject.org/</li>
<li>https://emblasproject.org/publications-and-reports</li>"
7,EMBLAS II,"EMBLAS was designed to tackle deficiencies and limitations in availability of accurate reliable and comparable marine data, as well as to build capacities of the countries to perform integrated environmental monitoring and assessment of the Black Sea according to the EU Marine Strategy Framework Directive (MSFD), EU Water Framework Directive (WFD) for the coastal zones and the needs of the Black Sea Strategic Action Plan (BS SAP). The aim of the project was to determine degree of contamination and the effects of pollution by hazardous substances in the Black Sea, mainly its Eastern (Georgian area) and Western (Ukrainian area) sides. An in-depth contamination survey was carried out based on the profiling of WFD priority substances (2013/39/EC) and the screening of potential Black Sea Specific Pollutants in different environmental compartments (seawater and sediments) and marine organisms (mussels and fish). Several analytical methods and novel techniques were applied for the analysis of the samples. Target, suspect and non-target screening approaches were followed for the detection of priority pollutants and emerging contaminants, while advanced software and sophisticated tools were used for results’ extraction and toxicity prediction. Moreover, the risk of the identified emerging contaminants on the aquatic environment was evaluated following the EU risk assessment quidelines (Directive 93/67/EEC, 1488/94/EC, Directive 98/8/EC).<br>                                                                                                                                                                                                                                                                                            Emblas II started on 1 April 2014 and will end on 31 May 2018, having the total duration of 50 months. Beneficiary countries were Georgia (GE), Russian Federation (RF) and Ukraine (UA), represented by the Ministry of Environment and Natural Resources Protection (GE), Ministry of Natural Resources and Environment (RF) and Ministry of Ecology and Natural Resources (UA). The Black Sea Commission Permanent Secretariat was among the project partners. ","<li>V. Dulio, P.C. von der Ohe, NORMAN Prioritisation Framework for emerging substances. NORMAN Association (2013), ISBN: 978-2-9545254-0-2</li>
<li>N.A. Alygizakis, et al: NORMAN Digital Sample Freezing Platform: A European virtual platform to exchange liquid chromatography high resolution-mass spectrometry data and screen suspects in “digitally frozen” environmental samples, April 2019, TrAC Trends in Analytical Chemistry 115, DOI: 10.1016/j.trac.2019.04.008, License CC BY-NC-ND 4.0 (Projects: Antibiotics and mobile resistance elements in wastewater reuse applications: risks and innovative solutions (ANSWER), Non Target Screening of Emerging Contaminants)</li>","<li>https://emblasproject.org/</li>
<li>https://emblasproject.org/publications-and-reports</li>"
8,EMBLAS Plus,"EMBLAS was designed to tackle deficiencies and limitations in availability of accurate reliable and comparable marine data, as well as to build capacities of the countries to perform integrated environmental monitoring and assessment of the Black Sea according to the EU Marine Strategy Framework Directive (MSFD), EU Water Framework Directive (WFD) for the coastal zones and the needs of the Black Sea Strategic Action Plan (BS SAP). The aim of the project was to determine degree of contamination and the effects of pollution by hazardous substances in the Black Sea, mainly its Eastern (Georgian area) and Western (Ukrainian area) sides. An in-depth contamination survey was carried out based on the profiling of WFD priority substances (2013/39/EC) and the screening of potential Black Sea Specific Pollutants in different environmental compartments (seawater and sediments) and marine organisms (mussels and fish). Several analytical methods and novel techniques were applied for the analysis of the samples. Target, suspect and non-target screening approaches were followed for the detection of priority pollutants and emerging contaminants, while advanced software and sophisticated tools were used for results’ extraction and toxicity prediction. Moreover, the risk of the identified emerging contaminants on the aquatic environment was evaluated following the EU risk assessment quidelines (Directive 93/67/EEC, 1488/94/EC, Directive 98/8/EC).<br>
The EMBLAS-Plus Final Scientific Report consists of summaries of scientific results based on data collected during the oceanographic observations in JBSS 2016/2017/2019, NPMS (2016 - 2017) and NMS (2019) by Georgia, Russian Federation and Ukraine. A collection and analysis of historical data have been performed as well. ","<li>V. Dulio, P.C. von der Ohe, NORMAN Prioritisation Framework for emerging substances. NORMAN Association (2013), ISBN: 978-2-9545254-0-2</li>
<li>N.A. Alygizakis, et al: NORMAN Digital Sample Freezing Platform: A European virtual platform to exchange liquid chromatography high resolution-mass spectrometry data and screen suspects in “digitally frozen” environmental samples, April 2019, TrAC Trends in Analytical Chemistry 115, DOI: 10.1016/j.trac.2019.04.008, License CC BY-NC-ND 4.0 (Projects: Antibiotics and mobile resistance elements in wastewater reuse applications: risks and innovative solutions (ANSWER), Non Target Screening of Emerging Contaminants)</li>
<li>Slobodnik, J., Alexandrov, B., Komorin, V., Mikaelyan, A., Guchmanidze, A., Arabidze, M., Korshenko, A. National Pilot Monitoring Studies and Joint Open Sea Surveys in Georgia, Russian Federation and Ukraine, 2017. Available at: https://emblasproject.org/wp-content/uploads/2019/07/EMBLAS-II_NPMS_JOSS_2017_ScReport_ANNEXES-1-7_FinDRAFT2.pdf</li>","<li>https://emblasproject.org/</li>
<li>https://emblasproject.org/publications-and-reports</li>"
9,EU4EMBLAS,"EMBLAS was designed to tackle deficiencies and limitations in availability of accurate reliable and comparable marine data, as well as to build capacities of the countries to perform integrated environmental monitoring and assessment of the Black Sea according to the EU Marine Strategy Framework Directive (MSFD), EU Water Framework Directive (WFD) for the coastal zones and the needs of the Black Sea Strategic Action Plan (BS SAP). The aim of the project was to determine degree of contamination and the effects of pollution by hazardous substances in the Black Sea, mainly its Eastern (Georgian area) and Western (Ukrainian area) sides. An in-depth contamination survey was carried out based on the profiling of WFD priority substances (2013/39/EC) and the screening of potential Black Sea Specific Pollutants in different environmental compartments (seawater and sediments) and marine organisms (mussels and fish). Several analytical methods and novel techniques were applied for the analysis of the samples. Target, suspect and non-target screening approaches were followed for the detection of priority pollutants and emerging contaminants, while advanced software and sophisticated tools were used for results’ extraction and toxicity prediction. Moreover, the risk of the identified emerging contaminants on the aquatic environment was evaluated following the EU risk assessment quidelines (Directive 93/67/EEC, 1488/94/EC, Directive 98/8/EC).<br>
The EU4EMBLAS project is implemented by UNDP Istanbul Regional Hub. The project was building on the results of previous project phases and complements the needs to build further the national capacities – technical and personal, to implement marine environment monitoring programmes, in line with the Bucharest Convention and EU reporting requirements. The-art analytical methodologies have been applied allowing for screening of several thousands of organic pollutants and their transformation products (TPs) by wide-scope target (>2,400 substances) and suspect (>95,000 substances). Samples for analysis of microplastics in seawater and sediments by several sampling techniques, seawater samples for analysis of antimicrobial resistance and fish environmental DNA, were collected. The Cruise of Three European Seas took place in the period from 1 to 21 October 2021. The transfer of RV Belgica was organized and funded by the EU/UNDP project «European Union for Improving Environmental Monitoring of the Black Sea» (EU4EMBLAS). The cruise was scientifically supported by the EC Joint Research Centre and Ukrainian Centre for Ecology of the Sea (UkrSCES).","<li>V. Dulio, P.C. von der Ohe, NORMAN Prioritisation Framework for emerging substances. NORMAN Association (2013), ISBN: 978-2-9545254-0-2</li>
<li>N.A. Alygizakis, et al: NORMAN Digital Sample Freezing Platform: A European virtual platform to exchange liquid chromatography high resolution-mass spectrometry data and screen suspects in “digitally frozen” environmental samples, April 2019, TrAC Trends in Analytical Chemistry 115, DOI: 10.1016/j.trac.2019.04.008, License CC BY-NC-ND 4.0 (Projects: Antibiotics and mobile resistance elements in wastewater reuse applications: risks and innovative solutions (ANSWER), Non Target Screening of Emerging Contaminants)</li>","<li>https://emblasproject.org/</li>
<li>https://emblasproject.org/publications-and-reports</li>
<li>https://emblasproject.org/wp-content/uploads/2024/12/Cruise.pdf</li>"
10,PARC,,"<li>N.A. Alygizakis, et al: NORMAN Digital Sample Freezing Platform: A European virtual platform to exchange liquid chromatography high resolution-mass spectrometry data and screen suspects in “digitally frozen” environmental samples, April 2019, TrAC Trends in Analytical Chemistry 115, DOI: 10.1016/j.trac.2019.04.008, License CC BY-NC-ND 4.0 (Projects: Antibiotics and mobile resistance elements in wastewater reuse applications: risks and innovative solutions (ANSWER), Non Target Screening of Emerging Contaminants)</li>
",
