change_id,change_item,user_id,change_date,ecotox_id,change_old,change_new,change_type
1,use_study,545,2017-02-26 23:56:37,EPA14306,"",Y,2
2,use_study,545,2017-02-26 23:56:37,EPA2103083,"",Y,2
3,use_study,545,2017-02-26 23:56:37,EPA2114427,"",Y,2
4,use_study,545,2017-02-26 23:56:37,EPA2117629,"",Y,2
5,use_study,545,2017-02-26 23:56:37,EPA2118074,"",Y,2
6,use_study,545,2017-02-26 23:56:37,EPA2127384,"",Y,2
7,use_study,545,2017-02-26 23:56:37,EPA229910,"",Y,2
8,use_study,545,2017-02-26 23:56:37,EPA229911,"",Y,2
9,use_study,545,2017-02-26 23:56:37,EPA229912,"",Y,2
10,use_study,545,2017-02-26 23:56:41,EPA102488,"",Y,2
11,use_study,545,2017-02-26 23:56:41,EPA2075128,"",Y,2
12,use_study,545,2017-02-26 23:56:41,EPA2075230,"",Y,2
13,use_study,545,2017-02-26 23:56:41,EPA2075231,"",Y,2
14,use_study,545,2017-02-26 23:56:41,EPA2075232,"",Y,2
15,use_study,545,2017-02-26 23:56:41,EPA2075233,"",Y,2
16,use_study,545,2017-02-26 23:56:41,EPA2075234,"",Y,2
17,use_study,545,2017-02-26 23:56:41,EPA2075235,"",Y,2
18,use_study,545,2017-02-26 23:56:41,EPA2075236,"",Y,2
19,use_study,545,2017-02-26 23:56:41,EPA2075237,"",Y,2
20,use_study,545,2017-02-26 23:56:41,EPA2075238,"",Y,2
21,use_study,545,2017-02-26 23:56:41,EPA2075239,"",Y,2
22,use_study,545,2017-02-26 23:56:41,EPA2075240,"",Y,2
23,use_study,545,2017-02-26 23:56:41,EPA2075241,"",Y,2
24,use_study,545,2017-02-26 23:56:41,EPA2075242,"",Y,2
25,use_study,545,2017-02-26 23:56:41,EPA2075243,"",Y,2
26,use_study,545,2017-02-26 23:56:41,EPA2075244,"",Y,2
27,use_study,545,2017-02-26 23:56:41,EPA2075245,"",Y,2
28,use_study,545,2017-02-26 23:56:41,EPA2075246,"",Y,2
29,use_study,545,2017-02-26 23:56:41,EPA2075247,"",Y,2
30,use_study,545,2017-02-26 23:56:41,EPA2075248,"",Y,2
31,use_study,545,2017-02-26 23:56:41,EPA2075249,"",Y,2
32,use_study,545,2017-02-26 23:56:41,EPA2075250,"",Y,2
33,use_study,545,2017-02-26 23:56:41,EPA2075251,"",Y,2
34,use_study,545,2017-02-26 23:56:41,EPA2075252,"",Y,2
35,use_study,545,2017-02-26 23:56:41,EPA2075253,"",Y,2
36,use_study,545,2017-02-26 23:56:41,EPA2075254,"",Y,2
37,use_study,545,2017-02-26 23:56:41,EPA2075255,"",Y,2
38,use_study,545,2017-02-26 23:56:42,EPA102488,"",Y,2
39,use_study,545,2017-02-26 23:56:42,EPA2075128,"",Y,2
40,use_study,545,2017-02-26 23:56:42,EPA2075230,"",Y,2
41,use_study,545,2017-02-26 23:56:42,EPA2075231,"",Y,2
42,use_study,545,2017-02-26 23:56:42,EPA2075232,"",Y,2
43,use_study,545,2017-02-26 23:56:42,EPA2075233,"",Y,2
44,use_study,545,2017-02-26 23:56:42,EPA2075234,"",Y,2
45,use_study,545,2017-02-26 23:56:42,EPA2075235,"",Y,2
46,use_study,545,2017-02-26 23:56:42,EPA2075236,"",Y,2
47,use_study,545,2017-02-26 23:56:42,EPA2075237,"",Y,2
48,use_study,545,2017-02-26 23:56:42,EPA2075238,"",Y,2
49,use_study,545,2017-02-26 23:56:42,EPA2075239,"",Y,2
50,use_study,545,2017-02-26 23:56:42,EPA2075240,"",Y,2
51,use_study,545,2017-02-26 23:56:42,EPA2075241,"",Y,2
52,use_study,545,2017-02-26 23:56:42,EPA2075242,"",Y,2
53,use_study,545,2017-02-26 23:56:42,EPA2075243,"",Y,2
54,use_study,545,2017-02-26 23:56:42,EPA2075244,"",Y,2
55,use_study,545,2017-02-26 23:56:42,EPA2075245,"",Y,2
56,use_study,545,2017-02-26 23:56:42,EPA2075246,"",Y,2
57,use_study,545,2017-02-26 23:56:42,EPA2075247,"",Y,2
58,use_study,545,2017-02-26 23:56:42,EPA2075248,"",Y,2
59,use_study,545,2017-02-26 23:56:42,EPA2075249,"",Y,2
60,use_study,545,2017-02-26 23:56:42,EPA2075250,"",Y,2
61,use_study,545,2017-02-26 23:56:42,EPA2075251,"",Y,2
62,use_study,545,2017-02-26 23:56:42,EPA2075252,"",Y,2
63,use_study,545,2017-02-26 23:56:42,EPA2075253,"",Y,2
64,use_study,545,2017-02-26 23:56:42,EPA2075254,"",Y,2
65,use_study,545,2017-02-26 23:56:42,EPA2075255,"",Y,2
66,use_study,545,2017-02-26 23:56:47,EPA3558,"",Y,2
67,use_study,545,2017-02-26 23:56:48,EPA3558,"",Y,2
68,use_study,545,2017-02-26 23:56:48,EPA3558,"",Y,2
69,use_study,545,2017-02-26 23:56:48,EPA3558,"",Y,2
70,use_study,545,2017-02-26 23:56:50,EPA240940,"",Y,2
71,use_study,545,2017-02-26 23:56:50,EPA3557,"",Y,2
72,use_study,545,2017-02-26 23:56:50,EPA81034,"",Y,2
73,use_study,545,2017-02-26 23:56:50,EPA81035,"",Y,2
74,use_study,545,2017-02-26 23:56:51,EPA240940,"",Y,2
