tab_id,tab_group,tab_h1,tab_h2,tab_edit,tab_type,tab_name,tab_description,tab_order
147,Source,Ecotox DS ID,Ecotox DS ID,0,text,biotest_id,A system-generated ID to identify the upload files for each sub-module.,1
1,Source,Biotest ID,Biotest ID,0,text,ecotox_id,A system-generated ID to identifiy the study in the ecotox sub-module.,2
2,Source,Data source,Data source,1,text,data_source,"Name of the source where the data was taken from, e.g. ""UBA Etox"" or ""EPA Ecotox"" databases.",3
3,Source,Data source ID,Data source ID,0,text,data_source_id,ID to identify the data entry at the source.,4
4,Source,Data source reference ID,Data source reference ID,0,text,data_source_ref,ID to identify the reference at the source.,5
5,Source,Data protection,Data protection,1,dropdown,data_protection,Indicates whether the study is confidential or publically available.,6
6,Source,Data source link,Data source link,1,text,data_source_link,"URL or website, DOI, pdf-link to the NORMAN repository, etc.",7
7,Source,Editor,Editor,0,text,edit_editor,Editor who created or modified the record.,8
150,Source,Use of study,Use of study,1,dropdown,use_study,Indication whether the study should be used in the derivation of quality targets,9
8,Source,Date,Date,0,date,edit_date,Date representing the day the record was created or modified. ,10
9,Reference,Reference type,Reference type,1,dropdown,reference_type,"Type of the reference of the source document: e.g. literature study, GLP study report, grey literature, Risk Assessment Report, etc.",11
10,Reference,Reference ID,Reference ID,0,text,reference_id,A system-generated ID to identify the reference of the study.,12
11,Reference,Title,Title,1,text,study_title,Title of the publication,13
12,Reference,Author(s),Author(s),1,text,authors,All authors names of the publication,14
13,Reference,Year,Year,1,text,year_publication,Year of the publication,15
14,Reference,Bibliographic source,Bibliographic source,1,text,bibliographic_source,Journal or publisher name + city of publisher + Issue and pages,16
16,Categorisation,Compartment,Compartment,1,dropdown,matrix_habitat,"Tested compartment (matrix), e.g. freshwater, marine water, freshwater sediments, marine sediments, etc.",17
17,Categorisation,Test type,Test type,1,dropdown,test_type,Indicates whether the reported value is exerimental or estimated.,18
18,Categorisation,Acute/Chronic,Acute/Chronic,1,dropdown,acute_or_chronic,Indicates whether the test is considered to be short term or long term.,19
148,Categorisation,Standard test,Standard test,1,dropdown,standard_test,Indicates whether the test represents a standard endpoint according to an OECD guideline.,20
19,Test substance,NORMAN Substance ID,NORMAN Substance ID,0,numeric,sus_id,??? INCHI KEY used in the NORMAN Database System (i.e. SUSDAT).,21
20,Test substance,Substance name,Substance name,1,text,substance_name,Substance name used in the study.,22
21,Test substance,CAS Number,CAS Number,1,text,cas_number,Substance CAS number used in the study.,23
22,Test substance,EC Number,EC Number,1,text,ec_number,"EU number used in the study, in cases where no CAS exist.",24
23,Test substance,Purity qualifier,-,0,"",purity_qualifier,"Qualifier for the % purity value, e.g. >, =, <.",25
24,Test substance,Purity [%] of test item,Purity [%] of test item,1,text,purity,Reported purity of test material in %.,26
25,Test substance,Supplier of test item,Supplier of test item,1,text,supplier,"Source / Merchant, where the test material was purchased.",27
26,Test substance,Vehicle substance,Vehicle substance,1,text,vehicle_substance,Name of vehicle ( i.e. solvent) used.,28
27,Test substance,Concentrations of vehicle or impurities,Concentrations of vehicle or impurities,1,text,known_concentrations,"Was the concentration of the vehicle or other impurities reported? The vehicle should not exceed 0.01 %, i.e. to exert no effect.",29
28,Test substance,Radio labeled substance,Radio labeled substance,1,text,radio_substance,Was the test substance radiolabeled? Which isotope was used? How was it quantified?,30
29,Test substance,Preparation of stock solutions,Preparation of stock solutions,1,text,preparation_solutions,Was the method for preparing the stock solution reported?,31
30,Biotest,Standard qualifier,Standard qualifier,1,dropdown,standard_qualifier,"Qualifier for the test standard used, e.g. ""according, equivalent or similar to"" the test guideline used.",32
31,Biotest,Standard used,Standard used,1,dropdown,standard_used,"Standard used, e.g. OECD Guideline 210 (Fish, Early-Life Stage Toxicity Test), or reference to a certain paper.",33
33,Biotest,Principles of method if other than guideline,Principles of method if other than guideline,1,text,principles,"Description of the test protocol if other than the guideline, giving a justification for using this method if appropriate.",34
