val_id,tab_id,val_value
1,5,other
2,9,other 
3,16,other
4,17,other
5,18,other
6,30,according to 
7,31,other guideline
8,34,yes (incl. certificate) 
9,35,other
10,36,other
11,37,other
12,41,yes
13,42,other
14,44,other
15,51,other
16,55,other
17,56,other
18,63,other
19,64,yes
20,65,yes
21,66,yes
22,71,other
23,76,other
24,77,yes
25,79,yes
26,80,yes
27,112,yes
28,121,<
29,125,other
30,132,yes
31,134,1
32,135,other 
33,137,other
34,140,other
35,142,""
36,146,µg/L
37,148,yes
38,150,Y
39,5,public
40,9,study report
41,16,freshwater
42,17,experimental result
43,18,acute
44,30,equivalent or similar to 
45,31,AFNOR T90-301
46,34,yes
47,35,behaviour 
48,36,avoidance
49,37,EC05
50,41,no
51,42,Aeromonas hydrophila 
52,44,algae
53,51,adherence to test vessels
54,55,adult fish
55,56,both
56,63,acid equivalent
57,64,no
58,65,no
59,71,aqueous
60,76,direct application
61,77,no
62,79,no
63,80,no
64,112,no
65,121,≤
66,125,test material
67,132,no
68,134,2
69,135,Klimesch
70,137,EU: BPD
71,140,Oekotoxzentrum_CHE
72,146,mg/L
73,148,no
74,150,N
75,5,confidential business information
76,9,company data 
77,16,marine water
78,17,estimated by calculation
79,18,chronic
80,30,no guideline followed 
81,31,AFNOR T90-304
82,34,no
83,35,development
84,36,biochemistry
85,37,EC10
86,41,not reported
87,42,Agmenellum quadruplicatum 
88,44,amphibians
89,51,aggregation of algal cells
90,55,juvenile fish 
91,56,male
92,63,estimated
93,64,not reported
94,65,not reported
95,71,dietary
96,76,hand spray
97,77,not reported
98,79,not reported
99,80,not reported
100,112,not reported
101,121,=
102,125,active ingredient
103,132,not reported
104,134,3
105,135,CRED
106,137,EU: PPP
107,140,ECHA
108,146,ng/L
109,148,not reported
110,5,intellectual property
111,9,publication 
112,16,sediments
113,17,read-across based on grouping of substances (category approach)
114,18,sub-acute
115,30,no guideline available 
116,31,Bayer Intern
117,34,not reported
118,35,ecosystem process
119,36,yield
120,37,EC20
121,42,Alburnus albidus costa 
122,44,annelids
123,51,any observations (e.g. precipitation) that might cause a difference between measured and nominal values
124,55,embryo and sac-fry stage
125,56,female
126,63,measured (arith. mean)
127,71,flow-through
128,76,spray (unknown type)
129,121,≥
130,125,element 
131,134,4
132,135,n.r.
133,137,EU: REACH
134,140,EFSA
135,146,µg/kg
136,5,not public available
137,9,review article or handbook 
138,16,soil
139,17,read-across from supporting substance (structural analogue or surrogate)
140,18,sub-chronic
141,30,no guideline required
142,31,BBA
143,35,genetics
144,36,brood size
145,37,EC50
146,42,Alburnus alburnus 
147,44,aquatic invertebrates
148,51,any stimulation of growth found in any treatment
149,55,early-life stage
150,56,not reported
151,63,measured (geom. mean)
152,71,injection
153,76,not reported
154,121,>
155,125,dissolved 
156,134,5
157,137,CA: CEPA
158,140,INERIS_FRA
159,146,mg/kg
160,5,not reported
161,9,grey literature 
162,16,activated sludge
163,17,(Q)SAR
164,18,not reported
165,30,not reported
166,31,BBA 25-1
167,35,growth
168,36,cell number
169,37,ED15
170,42,Alburnus lucidus 
171,44,bacteria
172,51,colour differences
173,55,whole life cycle
174,63,measured (initial)
175,71,repeated doses
176,121,ca.
177,125,labile/free 
178,137,CA: PCPA
179,140,LfU Bayern
180,5,not assigned
181,9,thesis
182,16,anaerobic sludge
183,17,biomarker result
184,31,BBA Draft
185,35,histology
186,36,cell(s)
187,37,ED50
188,42,Alectoris rufa 
189,44,crustaceans
190,51,effect concentrations exceeding solubility of substance in test medium
191,55,not appicable
192,63,measured (not specified)
193,71,sediment
194,121,~
195,125,formulation
196,137,JP: CSCL
197,140,NORMAN
198,9,safety datasheet
199,16,not reported
200,17,field experiment
201,31,BBA Draft 1995
202,35,immunological
203,36,emergence
204,37,ER10
205,42,Aleochara bilineata 
206,44,cyanophyta
