id,name,ordering
"1","Amusement arcade"
"2","Art gallery"
"3","Banquet hall"
"4","Bar"
"5","Boarding House"
"6","Cafeteria"
"7","Casino"
"8","Cinema"
"9","Community hall"
"10","Concert hall"
"11","Convents"
"12","Courtroom"
"13","Exhibition hall"
"14","Fraternity"
"15","Funeral parlor"
"16","Gymnasium"
"17","Hotel"
"18","Iindoor arena"
"19","Indoor skating rink"
"20","Indoor swimming pool"
"21","indoor tennis court"
"22","Library"
"23","Monasteries"
"24","Motel"
"25","Museum"
"26","Nightclub"
"27","Other indoor sports facility"
"28","Pension"
"29","Places of religious worship"
"30","Restaurant"
"31","Sorority"
"32","Tavern"
"33","Theatre"
"34","Time-share residences"
"35","TV / Radio studio w audience"
"36","Waiting areas in transportation halls"
"37","Other"
