LitDatabase,,CAS,Individual_ID,reported_concentration,,type_of_numeric_quantity,range_min/range_max,,Sample matrix,tissue,remark_MATRIX,Sample preparation,analytical_method,storage_temp_c/Packing material of samples,lod/loq,Species,Suggested Name ,latin_name,kingdom,class_phyl,Order,life_stage,sex,x_of_subsamples,x_of_replicates,start_of_sampling_day/start_of_sampling_month/start_of_sampling_year,Biota weight,Biota size/Biota length/Biota weight,,health_status,,,,,,trophic_level_as_described_in_paper/diet_as_described_in_paper,δ13C vs. VPDB ,d15N vs. Air N2,remark_Matrix of isotope parameters measured,,,Cause of death,name_of_country,region_city,latitude_1/longitude_1,habitat_type,,,,temperature,remark_2_Local soil/sediment/vegetation/mice concentration of metal element,Sample matrix,concentration_units,SD,reported_distance_to_industry,title/first_author/year/doi,,
T.Nolte,metal element,,,concentration value (+sd),standard deviation,concentration type ((geo/arithmic)mean/average/range/median/other),range,concentration_units,,"matrix, liver/feather(which feather type? Body, wing,tail, etc)/blood(;RBC)/kidney/breast/muscle/bone/eggs/brain/heart/pellets/pellet bones/faeces/skin/lungs/gizzard/nail, etc",matrix note,sample processing/extraction method (eg drying: ww/dw),analytical technique (eg AAS),storage,LOD/LOQ,common name,,scientific/Latin name,,,,"age, juvenile/nestling/adult","sex/gender, male/female/mixed",no of individuals ,no of samples/replicates/detects,date/season/year/timespan of species acquisition in the wild,weight (/size),organ/liver size/weight,(matrix) fat/protein content,reported health status (effect p-value),biomarker effects,morphometric characteristics,coloration/pigmentation/spottiness feathers,moulting status,burden of parasites etc,"trophic level/guild, diet, carnivor",dietary ecological parameters (isotope ∂13C),dietary ecological parameters (isotope ∂15N),matrix of isotope parameters measured,nesting success (%),migratory habits/residential status,cause of death / death rate (%),country,region/city,geolocation/coordinates (lat/long),habitat type,"climate/weather,  (Köppen-Geiger climate classification)",North Atlantic Oscillation index,Max Snow depth (cm),temperature,local soil/sediment/vegetation/mice concentration of metal element,matrix,unit,standard deviation (SD) or range,"reported distance to industry(eg smelter)/source, nearest source type","reference (e.g. Janssen et al. 2024, Nature)",,
,Pb,7439-92-1,NS00099540,2.13,0.11,mean,2.00-2.35,ug/g,Biota-Terrestrial,feathers,"Feathers were plucked from different parts of the body, preferably body feathers ","wash tap&dionized water/acetone, oven dried, ground to powder, digesion with nigtric acid (70%), heating and H2O2",Fast Sequential Atomic Absorption Spectrometer (VarianFS-AA-240),"plastic envelopes, stored in refrigerator at 4C",N/A,Spotted owlet,Spotted owlet,Athene brama,Animalia,Aves,Strigiformes,N/A,N/A,3,N/A,September 2011 to August 2012,N/A,N/A,N/A,N/A,N/A,N/A,spotted,N/A,N/A,carnivore,metals accumulation in feathers increases 3 to 5 folds in higher trophic levels; relation between diet and metal concentrations,N/A,N/A,N/A,resident species,birds caught in other studies and some for commercial uses; birds were captured in most of the cases through cages and mist nets and released after collecting feathers,Pakistan,Punjab,Head Punjnad,"Sampling sites included remote rural areas, rivers, lakes, dams, cities",Subtropical desert climate,N/A,N/A,yearly average,N/A,"soil (Bhatti, SpringerPlus volume 5, Article number: 173 (2016) - Heavy metals bioaccumulation in Berseem (Trifolium alexandrinum) cultivated in areas under intensive agriculture, Punjab)",mg/kg,2.83-9.17,"deposition from  atmosphere. natural and anthropogenic. weathering of high altitudes rocks,  outfall of earthquake,  flood; Deposition;  industrial and agricultural runoff through  flood water may lead most of  contaminants towards the lower plains where they are deposited in  sediments","Abbasi et al. 2015, Chemosphere",,
,Pb,7439-92-1,NS00099540,1.94,0.37,mean,1.23-2.45,ug/g,Biota-Terrestrial,feathers,"Feathers were plucked from different parts of the body, preferably body feathers ","wash tap&dionized water/acetone, oven dried, ground to powder, digesion with nigtric acid (70%), heating and H2O3",Fast Sequential Atomic Absorption Spectrometer (VarianFS-AA-240),"plastic envelopes, stored in refrigerator at 4C",N/A,Short eared owl,Short-eared owl,Asio flammeus,Animalia,Aves,Strigiformes,N/A,N/A,3,N/A,September 2011 to August 2012,N/A,N/A,N/A,N/A,N/A,N/A,flame-coloured,N/A,N/A,carnivore,metals accumulation in feathers increases 3 to 5 folds in higher trophic levels; relation between diet and metal concentrations,N/A,N/A,N/A,resident species,birds caught in other studies and some for commercial uses; birds were captured in most of the cases through cages and mist nets and released after collecting feathers,Pakistan,Punjab,Mianwali,"Sampling sites included remote rural areas, rivers, lakes, dams, cities",Subtropical desert climate,N/A,N/A,yearly average,N/A,"soil (Bhatti, SpringerPlus volume 5, Article number: 173 (2016) - Heavy metals bioaccumulation in Berseem (Trifolium alexandrinum) cultivated in areas under intensive agriculture, Punjab)",mg/kg,2.83-9.17,"deposition from  atmosphere. natural and anthropogenic. weathering of high altitudes rocks,  outfall of earthquake,  flood; Deposition;  industrial and agricultural runoff through  flood water may lead most of  contaminants towards the lower plains where they are deposited in  sediments","Abbasi et al. 2015, Chemosphere",,
,Pb,7439-92-1,NS00099540,2.55,0.29,mean,1.99-2.94,ug/g,Biota-Terrestrial,feathers,"Feathers were plucked from different parts of the body, preferably body feathers ","wash tap&dionized water/acetone, oven dried, ground to powder, digesion with nigtric acid (70%), heating and H2O4",Fast Sequential Atomic Absorption Spectrometer (VarianFS-AA-240),"plastic envelopes, stored in refrigerator at 4C",N/A,Asian barred owlet (Himalayan owl),Asian barred owlet ,Glaucidium cuculoides,Animalia,Aves,Strigiformes,N/A,N/A,3,N/A,September 2011 to August 2012,N/A,N/A,N/A,N/A,N/A,N/A,whitish with dark brown bars,N/A,N/A,carnivore,metals accumulation in feathers increases 3 to 5 folds in higher trophic levels; relation between diet and metal concentrations,N/A,N/A,N/A,resident species,birds caught in other studies and some for commercial uses; birds were captured in most of the cases through cages and mist nets and released after collecting feathers,Pakistan,Punjab,Head Punjnad,"Sampling sites included remote rural areas, rivers, lakes, dams, cities",Subtropical desert climate,N/A,N/A,yearly average,N/A,"soil (Bhatti, SpringerPlus volume 5, Article number: 173 (2016) - Heavy metals bioaccumulation in Berseem (Trifolium alexandrinum) cultivated in areas under intensive agriculture, Punjab)",mg/kg,2.83-9.17,"deposition from  atmosphere. natural and anthropogenic. weathering of high altitudes rocks,  outfall of earthquake,  flood; Deposition;  industrial and agricultural runoff through  flood water may lead most of  contaminants towards the lower plains where they are deposited in  sediments","Abbasi et al. 2015, Chemosphere",,
,Pb,7439-92-1,NS00099540,2.68,0.06,mean,2.60-2.80,ug/g,Biota-Terrestrial,feathers,"Feathers were plucked from different parts of the body, preferably body feathers ","wash tap&dionized water/acetone, oven dried, ground to powder, digesion with nigtric acid (70%), heating and H2O5",Fast Sequential Atomic Absorption Spectrometer (VarianFS-AA-240),"plastic envelopes, stored in refrigerator at 4C",N/A,Little owl,Little owl,Athene noctua,Animalia,Aves,Strigiformes,N/A,N/A,4,N/A,September 2011 to August 2012,N/A,N/A,N/A,N/A,N/A,N/A,"greyish-brown, spotted, streaked and barred with white",N/A,N/A,carnivore,metals accumulation in feathers increases 3 to 5 folds in higher trophic levels; relation between diet and metal concentrations,N/A,N/A,N/A,resident species,birds caught in other studies and some for commercial uses; birds were captured in most of the cases through cages and mist nets and released after collecting feathers,Pakistan,Punjab,Okara,"Sampling sites included remote rural areas, rivers, lakes, dams, cities",Subtropical desert climate,N/A,N/A,yearly average,N/A,"soil (Bhatti, SpringerPlus volume 5, Article number: 173 (2016) - Heavy metals bioaccumulation in Berseem (Trifolium alexandrinum) cultivated in areas under intensive agriculture, Punjab)",mg/kg,2.83-9.17,"deposition from  atmosphere. natural and anthropogenic. weathering of high altitudes rocks,  outfall of earthquake,  flood; Deposition;  industrial and agricultural runoff through  flood water may lead most of  contaminants towards the lower plains where they are deposited in  sediments","Abbasi et al. 2015, Chemosphere",,
,Cd,7440-43-9,NS00099585,0.79,0.18,mean,0.43-1.00,ug/g,Biota-Terrestrial,feathers,"Feathers were plucked from different parts of the body, preferably body feathers ","wash tap&dionized water/acetone, oven dried, ground to powder, digesion with nigtric acid (70%), heating and H2O6",Fast Sequential Atomic Absorption Spectrometer (VarianFS-AA-240),"plastic envelopes, stored in refrigerator at 4C",N/A,Spotted owlet,Spotted owlet,Athene brama,Animalia,Aves,Strigiformes,N/A,N/A,3,N/A,September 2011 to August 2012,N/A,N/A,N/A,N/A,N/A,N/A,spotted,N/A,N/A,carnivore,metals accumulation in feathers increases 3 to 5 folds in higher trophic levels; relation between diet and metal concentrations,N/A,N/A,N/A,resident species,birds caught in other studies and some for commercial uses; birds were captured in most of the cases through cages and mist nets and released after collecting feathers,Pakistan,Punjab,Head Punjnad,"Sampling sites included remote rural areas, rivers, lakes, dams, cities",Subtropical desert climate,N/A,N/A,yearly average,N/A,"soil (Bhatti, SpringerPlus volume 5, Article number: 173 (2016) - Heavy metals bioaccumulation in Berseem (Trifolium alexandrinum) cultivated in areas under intensive agriculture, Punjab)",mg/kg,0.15–0.37,"deposition from  atmosphere. natural and anthropogenic. weathering of high altitudes rocks,  outfall of earthquake,  flood; Deposition;  industrial and agricultural runoff through  flood water may lead most of  contaminants towards the lower plains where they are deposited in  sediments","Abbasi et al. 2015, Chemosphere",,
,Cd,7440-43-9,NS00099585,0.54,0.23,mean,0.23-0.99,ug/g,Biota-Terrestrial,feathers,"Feathers were plucked from different parts of the body, preferably body feathers ","wash tap&dionized water/acetone, oven dried, ground to powder, digesion with nigtric acid (70%), heating and H2O7",Fast Sequential Atomic Absorption Spectrometer (VarianFS-AA-240),"plastic envelopes, stored in refrigerator at 4C",N/A,Short eared owl,Short-eared owl,Asio flammeus,Animalia,Aves,Strigiformes,N/A,N/A,3,N/A,September 2011 to August 2012,N/A,N/A,N/A,N/A,N/A,N/A,flame-coloured,N/A,N/A,carnivore,metals accumulation in feathers increases 3 to 5 folds in higher trophic levels; relation between diet and metal concentrations,N/A,N/A,N/A,resident species,birds caught in other studies and some for commercial uses; birds were captured in most of the cases through cages and mist nets and released after collecting feathers,Pakistan,Punjab,Mianwali,"Sampling sites included remote rural areas, rivers, lakes, dams, cities",Subtropical desert climate,N/A,N/A,yearly average,N/A,"soil (Bhatti, SpringerPlus volume 5, Article number: 173 (2016) - Heavy metals bioaccumulation in Berseem (Trifolium alexandrinum) cultivated in areas under intensive agriculture, Punjab)",mg/kg,0.15–0.37,"deposition from  atmosphere. natural and anthropogenic. weathering of high altitudes rocks,  outfall of earthquake,  flood; Deposition;  industrial and agricultural runoff through  flood water may lead most of  contaminants towards the lower plains where they are deposited in  sediments","Abbasi et al. 2015, Chemosphere",,
,Cd,7440-43-9,NS00099585,0.69,0.17,mean,0.39-0.99,ug/g,Biota-Terrestrial,feathers,"Feathers were plucked from different parts of the body, preferably body feathers ","wash tap&dionized water/acetone, oven dried, ground to powder, digesion with nigtric acid (70%), heating and H2O8",Fast Sequential Atomic Absorption Spectrometer (VarianFS-AA-240),"plastic envelopes, stored in refrigerator at 4C",N/A,Asian barred owlet (Himalayan owl),Asian barred owlet ,Glaucidium cuculoides,Animalia,Aves,Strigiformes,N/A,N/A,3,N/A,September 2011 to August 2012,N/A,N/A,N/A,N/A,N/A,N/A,whitish with dark brown bars,N/A,N/A,carnivore,metals accumulation in feathers increases 3 to 5 folds in higher trophic levels; relation between diet and metal concentrations,N/A,N/A,N/A,resident species,birds caught in other studies and some for commercial uses; birds were captured in most of the cases through cages and mist nets and released after collecting feathers,Pakistan,Punjab,Head Punjnad,"Sampling sites included remote rural areas, rivers, lakes, dams, cities",Subtropical desert climate,N/A,N/A,yearly average,N/A,"soil (Bhatti, SpringerPlus volume 5, Article number: 173 (2016) - Heavy metals bioaccumulation in Berseem (Trifolium alexandrinum) cultivated in areas under intensive agriculture, Punjab)",mg/kg,0.15–0.37,"deposition from  atmosphere. natural and anthropogenic. weathering of high altitudes rocks,  outfall of earthquake,  flood; Deposition;  industrial and agricultural runoff through  flood water may lead most of  contaminants towards the lower plains where they are deposited in  sediments","Abbasi et al. 2015, Chemosphere",,
,Cd,7440-43-9,NS00099585,0.87,0.22,mean,0.39-0.99,ug/g,Biota-Terrestrial,feathers,"Feathers were plucked from different parts of the body, preferably body feathers ","wash tap&dionized water/acetone, oven dried, ground to powder, digesion with nigtric acid (70%), heating and H2O9",Fast Sequential Atomic Absorption Spectrometer (VarianFS-AA-240),"plastic envelopes, stored in refrigerator at 4C",N/A,Little owl,Little owl,Athene noctua,Animalia,Aves,Strigiformes,N/A,N/A,4,N/A,September 2011 to August 2012,N/A,N/A,N/A,N/A,N/A,N/A,"greyish-brown, spotted, streaked and barred with white",N/A,N/A,carnivore,metals accumulation in feathers increases 3 to 5 folds in higher trophic levels; relation between diet and metal concentrations,N/A,N/A,N/A,resident species,birds caught in other studies and some for commercial uses; birds were captured in most of the cases through cages and mist nets and released after collecting feathers,Pakistan,Punjab,Okara,"Sampling sites included remote rural areas, rivers, lakes, dams, cities",Subtropical desert climate,N/A,N/A,yearly average,N/A,"soil (Bhatti, SpringerPlus volume 5, Article number: 173 (2016) - Heavy metals bioaccumulation in Berseem (Trifolium alexandrinum) cultivated in areas under intensive agriculture, Punjab)",mg/kg,0.15–0.37,"deposition from  atmosphere. natural and anthropogenic. weathering of high altitudes rocks,  outfall of earthquake,  flood; Deposition;  industrial and agricultural runoff through  flood water may lead most of  contaminants towards the lower plains where they are deposited in  sediments","Abbasi et al. 2015, Chemosphere",,
,Cr,7440-47-3,NS00099583,2.4,1.27,mean,0.45-4.78,ug/g,Biota-Terrestrial,feathers,"Feathers were plucked from different parts of the body, preferably body feathers ","wash tap&dionized water/acetone, oven dried, ground to powder, digesion with nigtric acid (70%), heating and H2O10",Fast Sequential Atomic Absorption Spectrometer (VarianFS-AA-240),"plastic envelopes, stored in refrigerator at 4C",N/A,Spotted owlet,Spotted owlet,Athene brama,Animalia,Aves,Strigiformes,N/A,N/A,3,N/A,September 2011 to August 2012,N/A,N/A,N/A,N/A,N/A,N/A,spotted,N/A,N/A,carnivore,metals accumulation in feathers increases 3 to 5 folds in higher trophic levels; relation between diet and metal concentrations,N/A,N/A,N/A,resident species,birds caught in other studies and some for commercial uses; birds were captured in most of the cases through cages and mist nets and released after collecting feathers,Pakistan,Punjab,Head Punjnad,"Sampling sites included remote rural areas, rivers, lakes, dams, cities",Subtropical desert climate,N/A,N/A,yearly average,N/A,"soil (Bhatti, SpringerPlus volume 5, Article number: 173 (2016) - Heavy metals bioaccumulation in Berseem (Trifolium alexandrinum) cultivated in areas under intensive agriculture, Punjab)",mg/kg,21.37-75.70,"deposition from  atmosphere. natural and anthropogenic. weathering of high altitudes rocks,  outfall of earthquake,  flood; Deposition;  industrial and agricultural runoff through  flood water may lead most of  contaminants towards the lower plains where they are deposited in  sediments","Abbasi et al. 2015, Chemosphere",,
