name,Kingdom,Phylum,Order,Genus,Class ,name_latin
Alpine swift,Animalia,Chordata,Apodiformes,Tachymarptis,Aves,Tachymarptis melba
American mink,Animalia,Chordata,Carnivora,Mustela,Mammalia (mammals),Neogale vison
Arctic fox,Animalia,Chordata,Carnivora,Vulpes,Mammalia (mammals),Vulpes lagopus
Asian hornet,Animalia,Arthropoda,Hymenoptera,Vespa,Insecta,Vespa velutina
Audouin’s gull,Animalia,Chordata,Charadriiformes,Ichthyaetus,Aves,Ichthyaetus audouinii
Avocet,Animalia,Chordata,Charadriiformes,Recurvirostra,Aves,
Bank vole,Animalia,Chordata,Rodentia,Myodes,Mammalia (mammals),Myodes glareolus
Barbary falcon,Animalia,Chordata,Falconiformes,Falco,Aves,Falco pelegrinoides
Barley,Plantae,Tracheophyta,Poales,Hordeum,Liliopsida,
Barn owl,Animalia,Chordata,Strigiformes,Tyto,Aves,Tyto alba
Bay bolete,Fungi,Basidiomycota,Boletales,Imleria,Agaricomycetes,Imleria badia
Bean,Plantae,Tracheophyta,Fabales,Vicia,Magnoliopsida,
Bearded vulture,Animalia,Chordata,Accipitriformes,Gypaetus,Aves,Gypaetus barbatus
Bee,Animalia,Arthropoda,Hymenoptera,Apis,Insecta,
Beet,Plantae,Tracheophyta,Caryophyllales,Beta,Magnoliopsida,
Black guillemot ,Animalia,Chordata,Charadriiformes,Cepphus,Aves,Cepphus grylle
Black kite,Animalia,Chordata,Accipitriformes,Milvus,Aves,Milvus migrans
Blackberry,Plantae,Tracheophyta,Rosales,Rubus,Magnoliopsida,
Black-crowned night heron,Animalia,Chordata,Pelecaniformes,Nycticorax,Aves,Nycticorax nycticorax
Black-headed gull,Animalia,Chordata,Charadriiformes,Chroicocephalus,Aves,Chroicocephalus ridibundus
Black-legged kittiwake,Animalia,Chordata,Charadriiformes,Rissa,Aves,Rissa tridactyla
Black-tailed godwit,Animalia,Chordata,Charadriiformes,Limosa,Aves,Limosa limosa
Black-winged kite,Animalia,Chordata,Accipitriformes,Elanus,Aves,Elanus caeruleus
Blue tit,Animalia,Chordata,Passeriformes,Cyanistes,Aves,Cyanistes caeruleus
Bonelli's eagle,Animalia,Chordata,Accipitriformes,Aquila,Aves,Aquila fasciata
Booted eagle,Animalia,Chordata,Accipitriformes,Hieraaetus,Aves,Hieraaetus pennatus
Broad-billed sandpiper,Animalia,Chordata,Charadriiformes,Calidris,Aves,Limicola falcinellus
Brown bear,Animalia,Chordata,Carnivora,Ursus,Mammalia (mammals),Ursus arctos
Brown rat,Animalia,Chordata,Rodentia,Rattus,Mammalia (mammals),Rattus norvegicus
Brünnich’s guillemot,Animalia,Chordata,Charadriiformes,Uria,Aves,Uria lomvia
Bumblebee,Animalia,Arthropoda,Hymenoptera,Bombus,Insecta,
Common buzzard,Animalia,Chordata,Accipitriformes,Buteo,Aves,Buteo buteo
Calandra lark,Animalia,Chordata,Passeriformes,Melanocorypha,Aves,Melanocorypha calandra
California kingsnake,Animalia,Chordata,Squamata,Lampropeltis,Reptilia (reptiles),Lampropeltis californiae
Cape hare,Animalia,Chordata,Lagomorpha,Lepus,Mammalia (mammals),Lepus capensis
Carrot,Plantae,Tracheophyta,Apiales,Daucus,Magnoliopsida,
Cattle egret,Animalia,Chordata,Pelecaniformes,Bubulcus,Aves,Bubulcus ibis
Ciril buntings,Animalia,Chordata,Passeriformes,Emberiza,Aves,Emberiza cirlus
Cinereous vulture,Animalia,Chordata,Accipitriformes,Aegypius,Aves,Aegypius monachus
Common crane,Animalia,Chordata,Gruiformes,Grus,Aves,Grus grus
Common eider,Animalia,Chordata,Anseriformes,Somateria,Aves,Somateria mollissima
Common genet,Animalia,Chordata,Carnivora,Genetta,Mammalia (mammals),Genetta genetta
Common kestrel,Animalia,Chordata,Falconiformes,Falco,Aves,Falco tinnunculus
Common magpie,Animalia,Chordata,Passeriformes,Luscinia,Aves,Pica pica
Common nightingales,Animalia,Chordata,Passeriformes,Luscinia,Aves,Luscinia megarhynchos
Common pratincole,Animalia,Chordata,Charadriiformes,Glareola,Aves,Glareola pratincola
Common raven,Animalia,Chordata,Passeriformes,Corvus,Aves,Corvus corax
Common shrew,Animalia,Chordata,Soricomorpha,Sorex,Mammalia (mammals),Sorex araneus
Common swifts,Animalia,Chordata,Apodiformes,Apus,Aves,Apus apus
Common vole,Animalia,Chordata,Rodentia,Microtus,Mammalia (mammals),Microtus arvalis
Common tern,Animalia,Chordata,Charadriiformes,Sterna,Aves,Sterna hirundo
Coot,Animalia,Chordata,Gruiformes,Fulica,Aves,
Crow,Animalia,Chordata,Passeriformes,Corvus,Aves,
Cormorant,Animalia,Chordata,Suliformes,Phalacrocorax,Aves,
Dalmatian pelican,Animalia,Chordata,Pelecaniformes,Pelecanus,Aves,Pelecanus crispus
Domestic cat,Animalia,Chordata,Carnivora,Felis,Mammalia (mammals),Felis catus
Domestic dog,Animalia,Chordata,Carnivora,Canis,Mammalia (mammals),Canis lupus familiaris
Eagle,Animalia,Chordata,Accipitriformes,Aquila,Aves,
Earthworm,Animalia,Annelida,Crassiclitellata,Lumbricus,Clitellata,
Egyptian mongoose,Animalia,Chordata,Carnivora,Herpestes,Mammalia (mammals),Herpestes ichneumon
Egyptian vulture,Animalia,Chordata,Accipitriformes,Neophron,Aves,Neophron percnopterus
Eleonora’s falcon,Animalia,Chordata,Falconiformes,Falco,Aves,
Iberian lynx,Animalia,Chordata,Carnivora,Lynx,Mammalia (mammals),Lynx pardinus
Eurasian otter,Animalia,Chordata,Carnivora,Lutra,Mammalia (mammals),Lutra lutra
Eurasian badger,Animalia,Chordata,Carnivora,Meles,Mammalia (mammals),Meles meles
Eurasian collared-dove,Animalia,Chordata,Columbiformes,Streptopelia,Aves,Streptopelia decaocto
Eurasian goshawk,Animalia,Chordata,Accipitriformes,Accipiter,Aves,Accipiter gentilis
Eurasian eagle-owl,Animalia,Chordata,Strigiformes,Bubo,Aves,Bubo bubo
Eurasian griffon vulture,Animalia,Chordata,Accipitriformes,Gyps,Aves,Gyps fulvus
Eurasian hedgehog,Animalia,Chordata,Erinaceomorpha,Erinaceus,Mammalia (mammals),Erinaceus europaeus
Eurasian lynx,Animalia,Chordata,Carnivora,Lynx,Mammalia (mammals),Lynx lynx
Eurasian sparrowhawk,Animalia,Chordata,Accipitriformes,Accipiter,Aves,Accipiter nisus
Crowned shrew,Animalia,Chordata,Soricomorpha,Sorex,Mammalia (mammals),Sorex coronatus
European badger,Animalia,Chordata,Carnivora,Meles,Mammalia (mammals),Meles meles
European bison,Animalia,Chordata,Artiodactyla,Bison,Mammalia (mammals),Bison bonasus
Eurasian blackbird,Animalia,Chordata,Passeriformes,Turdus,Aves,Turdus merula
European honey buzzard,Animalia,Chordata,Accipitriformes,Pernis,Aves,Pernis apivorus
European kestrel,Animalia,Chordata,Falconiformes,Falco,Aves,Falco tinnunculus
European mink,Animalia,Chordata,Carnivora,Mustela,Mammalia (mammals),Mustela lutreola
European pine marten,Animalia,Chordata,Carnivora,Martes,Mammalia (mammals),Martes martes
European polecat,Animalia,Chordata,Carnivora,Mustela,Mammalia (mammals),Mustela putorius
European rabbit,Animalia,Chordata,Lagomorpha,Oryctolagus,Mammalia (mammals),Oryctolagus cuniculus
European shag,Animalia,Chordata,Suliformes,Phalacrocorax,Aves,Phalacrocorax aristotelis
European starling,Animalia,Chordata,Passeriformes,Sturnus,Aves,Sturnus vulgaris
European storm petrels,Animalia,Chordata,Procellariiformes,Hydrobates,Aves,Hydrobates pelagicus
European water vole,Animalia,Chordata,Rodentia,Arvicola,Mammalia (mammals),Arvicola amphibius
Feral pigeon,Animalia,Chordata,Columbiformes,Columba,Aves,Columba livia domestica
