TerraChem Metals Seeder - Auto-Created Substances Log
Generated: 2026-03-13 08:37:39
Total: 94 new substances
================================================================================

Norman ID: NS00135002 | Code: 00135002 | Chemical: K-40 | DB ID: 120979
Norman ID: NS00134982 | Code: 00134982 | Chemical: Cs-137 | DB ID: 120980
Norman ID: NS00135005 | Code: 00135005 | Chemical: Li-7 | DB ID: 120981
Norman ID: NS00134976 | Code: 00134976 | Chemical: Be-9 | DB ID: 120982
Norman ID: NS00134972 | Code: 00134972 | Chemical: B-11 | DB ID: 120983
Norman ID: NS00135012 | Code: 00135012 | Chemical: Na-23 | DB ID: 120984
Norman ID: NS00135007 | Code: 00135007 | Chemical: Mg-24 | DB ID: 120985
Norman ID: NS00134969 | Code: 00134969 | Chemical: Al-27 | DB ID: 120986
Norman ID: NS00135039 | Code: 00135039 | Chemical: Si-29 | DB ID: 120987
Norman ID: NS00135001 | Code: 00135001 | Chemical: K-39 | DB ID: 120988
Norman ID: NS00135037 | Code: 00135037 | Chemical: Sc-45 | DB ID: 120989
Norman ID: NS00135047 | Code: 00135047 | Chemical: Ti-47-PO | DB ID: 120990
Norman ID: NS00135048 | Code: 00135048 | Chemical: Ti-49 | DB ID: 120991
Norman ID: NS00135052 | Code: 00135052 | Chemical: V-51 | DB ID: 120992
Norman ID: NS00134987 | Code: 00134987 | Chemical: Fe-57 | DB ID: 120993
Norman ID: NS00135016 | Code: 00135016 | Chemical: Ni-60 | DB ID: 120994
Norman ID: NS00134983 | Code: 00134983 | Chemical: Cu-63 | DB ID: 120995
Norman ID: NS00134984 | Code: 00134984 | Chemical: Cu-65 | DB ID: 120996
Norman ID: NS00135057 | Code: 00135057 | Chemical: Zn-66 | DB ID: 120997
Norman ID: NS00135058 | Code: 00135058 | Chemical: Zn-68 | DB ID: 120998
Norman ID: NS00135030 | Code: 00135030 | Chemical: Rb-85 | DB ID: 120999
Norman ID: NS00135043 | Code: 00135043 | Chemical: Sr-86 | DB ID: 121000
Norman ID: NS00135044 | Code: 00135044 | Chemical: Sr-88 | DB ID: 121001
Norman ID: NS00135055 | Code: 00135055 | Chemical: Y-89 | DB ID: 121002
Norman ID: NS00135009 | Code: 00135009 | Chemical: Mo-95 | DB ID: 121003
Norman ID: NS00135042 | Code: 00135042 | Chemical: Sn-118 | DB ID: 121004
Norman ID: NS00135034 | Code: 00135034 | Chemical: Sb-121 | DB ID: 121005
Norman ID: NS00134974 | Code: 00134974 | Chemical: Ba-135 | DB ID: 121006
Norman ID: NS00134979 | Code: 00134979 | Chemical: Ce-140 | DB ID: 121007
Norman ID: NS00135014 | Code: 00135014 | Chemical: Nd-146 | DB ID: 121008
Norman ID: NS00135040 | Code: 00135040 | Chemical: Sm-147 | DB ID: 121009
Norman ID: NS00134989 | Code: 00134989 | Chemical: Gd-157 | DB ID: 121010
Norman ID: NS00134990 | Code: 00134990 | Chemical: Gd-160 | DB ID: 121011
Norman ID: NS00134985 | Code: 00134985 | Chemical: Dy-163 | DB ID: 121012
Norman ID: NS00134986 | Code: 00134986 | Chemical: Er-166 | DB ID: 121013
Norman ID: NS00135056 | Code: 00135056 | Chemical: Yb-172 | DB ID: 121014
Norman ID: NS00135006 | Code: 00135006 | Chemical: Lu-175 | DB ID: 121015
Norman ID: NS00135019 | Code: 00135019 | Chemical: Pb-206 | DB ID: 121016
Norman ID: NS00135020 | Code: 00135020 | Chemical: Pb-207 | DB ID: 121017
Norman ID: NS00135021 | Code: 00135021 | Chemical: Pb-208 | DB ID: 121018
Norman ID: NS00135051 | Code: 00135051 | Chemical: U-238 | DB ID: 121019
Norman ID: NS00135015 | Code: 00135015 | Chemical: Ni-58 | DB ID: 121020
Norman ID: NS00134980 | Code: 00134980 | Chemical: Co-59 | DB ID: 121021
Norman ID: NS00134988 | Code: 00134988 | Chemical: Ga-71 | DB ID: 121022
Norman ID: NS00134991 | Code: 00134991 | Chemical: Ge-72 | DB ID: 121023
Norman ID: NS00134992 | Code: 00134992 | Chemical: Ge-73 | DB ID: 121024
Norman ID: NS00135038 | Code: 00135038 | Chemical: Se-82 | DB ID: 121025
Norman ID: NS00135003 | Code: 00135003 | Chemical: Kr-83 | DB ID: 121026
Norman ID: NS00135059 | Code: 00135059 | Chemical: Zr-90 | DB ID: 121027
Norman ID: NS00135060 | Code: 00135060 | Chemical: Zr-92 | DB ID: 121028
Norman ID: NS00135011 | Code: 00135011 | Chemical: Mo-92 | DB ID: 121029
Norman ID: NS00135013 | Code: 00135013 | Chemical: Nb-93 | DB ID: 121030
Norman ID: NS00135061 | Code: 00135061 | Chemical: Zr-94 | DB ID: 121031
Norman ID: NS00135010 | Code: 00135010 | Chemical: Mo-97 | DB ID: 121032
Norman ID: NS00135033 | Code: 00135033 | Chemical: Ru-101 | DB ID: 121033
Norman ID: NS00135023 | Code: 00135023 | Chemical: Pd-104 | DB ID: 121034
Norman ID: NS00135024 | Code: 00135024 | Chemical: Pd-105 | DB ID: 121035
Norman ID: NS00134966 | Code: 00134966 | Chemical: Ag-107 | DB ID: 121036
Norman ID: NS00134967 | Code: 00134967 | Chemical: Ag-109 | DB ID: 121037
Norman ID: NS00134977 | Code: 00134977 | Chemical: Cd-111 | DB ID: 121038
Norman ID: NS00134978 | Code: 00134978 | Chemical: Cd-112 | DB ID: 121039
Norman ID: NS00134997 | Code: 00134997 | Chemical: In-113 | DB ID: 121040
Norman ID: NS00134998 | Code: 00134998 | Chemical: In-115 | DB ID: 121041
Norman ID: NS00135041 | Code: 00135041 | Chemical: Sn-117 | DB ID: 121042
Norman ID: NS00135035 | Code: 00135035 | Chemical: Sb-123 | DB ID: 121043
Norman ID: NS00135046 | Code: 00135046 | Chemical: Te-125 | DB ID: 121044
Norman ID: NS00134975 | Code: 00134975 | Chemical: Ba-138 | DB ID: 121045
Norman ID: NS00134993 | Code: 00134993 | Chemical: Hf-179 | DB ID: 121046
Norman ID: NS00134994 | Code: 00134994 | Chemical: Hf-180 | DB ID: 121047
Norman ID: NS00135053 | Code: 00135053 | Chemical: W-182 | DB ID: 121048
Norman ID: NS00135054 | Code: 00135054 | Chemical: W-184 | DB ID: 121049
Norman ID: NS00135031 | Code: 00135031 | Chemical: Re-185 | DB ID: 121050
Norman ID: NS00135032 | Code: 00135032 | Chemical: Re-187 | DB ID: 121051
Norman ID: NS00135017 | Code: 00135017 | Chemical: Os-189 | DB ID: 121052
Norman ID: NS00135018 | Code: 00135018 | Chemical: Os-190 | DB ID: 121053
Norman ID: NS00134999 | Code: 00134999 | Chemical: Ir-191 | DB ID: 121054
Norman ID: NS00135000 | Code: 00135000 | Chemical: Ir-193 | DB ID: 121055
Norman ID: NS00135026 | Code: 00135026 | Chemical: Pt-194 | DB ID: 121056
Norman ID: NS00135027 | Code: 00135027 | Chemical: Pt-195 | DB ID: 121057
Norman ID: NS00134995 | Code: 00134995 | Chemical: Hg-200 | DB ID: 121058
Norman ID: NS00134996 | Code: 00134996 | Chemical: Hg-202 | DB ID: 121059
Norman ID: NS00135049 | Code: 00135049 | Chemical: Tl-203 | DB ID: 121060
Norman ID: NS00135050 | Code: 00135050 | Chemical: Tl-205 | DB ID: 121061
Norman ID: NS00135045 | Code: 00135045 | Chemical: Sr-90 | DB ID: 121062
Norman ID: NS00135029 | Code: 00135029 | Chemical: Pu-239 + Pu-240 | DB ID: 121063
Norman ID: NS00135028 | Code: 00135028 | Chemical: Pu-238 | DB ID: 121064
Norman ID: NS00134968 | Code: 00134968 | Chemical: Am-241 | DB ID: 121065
Norman ID: NS00135025 | Code: 00135025 | Chemical: Po-210 | DB ID: 121066
Norman ID: NS00135022 | Code: 00135022 | Chemical: Pb-210 | DB ID: 121067
Norman ID: NS00135062 | Code: 00135062 | Chemical: 134Cs | DB ID: 121068
Norman ID: NS00135064 | Code: 00135064 | Chemical: Ra-226 | DB ID: 121069
Norman ID: NS00135063 | Code: 00135063 | Chemical: Co-60 | DB ID: 121070
Norman ID: NS00135065 | Code: 00135065 | Chemical: Ru-106 | DB ID: 121071
Norman ID: NS00135066 | Code: 00135066 | Chemical: Nb | DB ID: 121072
