CAS,chemical_name,susdat_name,susdat_id,DTX,,
93-65-2,(+/-)-2-(4-chloro-2-methylphenoxy)propionic acid (mcpp),"	(+/-)-2-(4-Chloro-2-methylphenoxy)propionic acid (MCPP)",NS00000277,,,
69327-76-0,"(2z)-2-[(1,1-dimethylethyl)imino]tetrahydro-3-(1-methylethyl)-5-phenyl-4h-1,3,5-thiadiazin-4-one","	Buprofezin",NS00114384,,,
113210-98-3,(z)-dimethomorph,(Z)-Dimethomorph,NS00007967,,,
3567-62-2,"1-(3,4-dichlorophenyl)-3-methylurea","N-(3,4-Dichlorophenyl)-N'-methylurea",NS00000266,,,
2327-02-8,"1-(3,4-dichlorophenyl)urea","3,4-Dichlorophenylurea",NS00000263,,,
2634-33-5,"1,2-benzisothiazolin-3-one (1,2-benzisothiazolinone)","1,2-Benzisothiazolin-3-one",NS00000271,,,
66753-07-9,"1,3,5-triazin-2(1h)-one, 4-((1,1-dimethylethyl)amino)-6-(ethylamino)-","1,3,5-Triazin-2(1H)-one, 4-((1,1-dimethylethyl)amino)-6-(ethylamino)-",NS00000294,,,
86-87-3,1-naphthaleneacetic acid,1-Naphthaleneacetic acid,NS00002971,,,
120983-64-4,"2-(1-chlorocyclopropyl)-1-(2-chlorophenyl)-3-(1h-1,2,4-triazol-1-yl)-2-propanol","2-(1-Chlorocyclopropyl)-1-(2-chlorophenyl)-3-(1H-1,2,4-triazol-1-yl)-2-propanol",NS00010886,,,
6119-92-2,"2-(1-methylheptyl)-4,6-dinitrophenyl crotonate (dinocap)","2-(1-Methylheptyl)-4,6-dinitrophenyl crotonate (Dinocap)",NS00098681,,,
2012-74-0,2-(4-chlorophenyl)-3-methylbutyric acid,2-(4-Chlorophenyl)-3-methylbutyric acid,NS00046315,,,
21564-17-0,2-(thiocyanomethylthio)benzothiazole,2-(Thiocyanomethylthio)benzothiazole,NS00001883,,,
1869-24-5,2-(trifluoromethyl)benzenesulfonamide,2-(Trifluoromethyl)benzenesulfonamide,NS00009074,,,
93-76-5,"2,4,5-trichlorophenoxyacetic acid","2,4,5-trichlorophenoxyacetic acid",NS00005731,,,
94-75-7,"2,4-dichlorophenoxyacetic acid","2,4-Dichlorophenoxyacetic acid",NS00000247,,,
94-82-6,"2,4-dichlorophenoxybutyric acid (2,4-db)","2,4-Dichlorophenoxybutyric acid (2,4-DB)",NS00006429,,,
94051-08-8,"2-[4-(6-chloroquinoxaline-2-yl-oxy)phenoxy]propanoic acid, (2r)-","2-[4-(6-Chloroquinoxaline-2-yl-oxy)phenoxy]propanoic acid, (2R)-",NS00001776,,,
934-32-7,2-aminobenzimidazole,2-Aminobenzimidazole,NS00010870,,,
1418095-02-9,"2-carbamoyl-3,5,6-trichloro-4-cyanobenzenesulfonic acid","2-Carbamoyl-3,5,6-trichloro-4-cyanobenzenesulfonic acid",NS00004492,,,
2163-68-0,2-hydroxyatrazine,2-Hydroxyatrazine,NS00000255,,,
149-30-4,2-mercaptobenzothiazole,2-Mercaptobenzothiazole,NS00000568,,,
