id,name,ordering
"1","Aquaculture"
"2","Dam construction"
"3","Direct discharges from sewage treatment works and industry"
"4","Oil or gas extraction"
"5","Dredged spoil or waste disposal ground"
"6","Directly impacted by leachate from landfill disposal sites"
"7","Mariculture"
"8","Fishing"
"9","Marina"
"10","Port facilities"
"11","Other activities"
"12","Other discharges"
"13","Downstream river monitoring station"
"14","Water abstracted from groundwater body"
"15","Artificial recharge of the groundwater body"
"16","Main infrastructures affecting the dynamics of the groundwater body"
"17","Associated aquatic ecosystems"
"18","NR"
"19","Other"
