id,sus_id,country_id,country_other,station_name,short_sample_code,sample_code,provider_code,national_code,code_ec_wise,code_ec_other,code_other,specific_locations,longitude_decimal,latitude_decimal,dpc_id,altitude,dpr_id,dpr_other,ds_passive_sampling_stretch,ds_stretch_start_and_end,ds_longitude_start_point_decimal,ds_latitude_start_point_decimal,ds_longitude_end_point_decimal,ds_latitude_end_point_decimal,ds_dpc_id,ds_altitude,ds_dpr_id,ds_dpr_other,matrix_id,matrix_other,type_sampling_id,type_sampling_other,passive_sampler_id,passive_sampler_other,sampler_type_id,sampler_type_other,sampler_mass,sampler_surface_area,date_sampling_start_day,date_sampling_start_month,date_sampling_start_year,exposure_time_days,exposure_time_hours,date_of_analysis,time_of_analysis,name,basin_name_id,basin_name_other,dts_id,dts_other,dtm_id,dtm_other,dic_id,concentration_value,unit,title_of_project,ph,temperature,spm_conc,salinity,doc,hardness,o2_1,o2_2,bod5,h2s,p_po4,n_no2,tss,p_total,n_no3,n_total,remark_1,remark_2,am_id,org_id,orig_compound,orig_cas_no,p_determinand_id,p_a_exposure_time,p_a_cruise_dates,p_a_river_km,p_a_sampler_sheets_disks_nr,p_a_sample_code
1,67,XX,,,,,,,,,,,,,,,0,,2,Passau-Bratislava,,,,,0,,0,,1,"",0,"",2,"",1,,3.2651,173,17,8,2013,6,"",2014-04-17,00:00:00,,0,,,,,,2,0,µg/sampler,,,,,,,,,,,,,,,,,,"",,1,1,0,"",1,"",17.8.-21.8.,2225-1852,10,""
2,67,XX,,,,,,,,,,,,,,,0,,3,Bratislava-Budapest,,,,,0,,0,,1,"",0,"",2,"",1,,3.2851,173,22,8,2013,5,"",2014-04-17,00:00:00,,0,,,,,,2,0,µg/sampler,,,,,,,,,,,,,,,,,,"",,1,1,0,"",1,"",22.8.-26.8.,1852-1632,10,""
3,67,XX,,,,,,,,,,,,,,,0,,4,Budapest-Vukovar,,,,,0,,0,,1,"",0,"",2,"",1,,3.3994,173,28,8,2013,4,"",2014-04-17,00:00:00,,0,,,,,,1,0.0028,µg/sampler,,,,,,,,,,,,,,,,,,"",,1,1,0,"",1,"",28.8.-31.8.,1648-1297,10,""
4,67,XX,,,,,,,,,,,,,,,0,,5,Vukovar-Belgrade,,,,,0,,0,,1,"",0,"",2,"",1,,3.1704,173,1,9,2013,5,"",2014-04-17,00:00:00,,0,,,,,,1,0.002,µg/sampler,,,,,,,,,,,,,,,,,,"",,1,1,0,"",1,"",1.9.-4.9.,1297-1159,10,""
5,67,XX,,,,,,,,,,,,,,,0,,6,Belgrade-Turnu-Severin,,,,,0,,0,,1,"",0,"",2,"",1,,3.19170000000001,173,6,9,2013,5,"",2014-04-17,00:00:00,,0,,,,,,1,0.007,µg/sampler,,,,,,,,,,,,,,,,,,"",,1,1,0,"",1,"",6.9.-10.9.,1159-930,10,""
6,67,XX,,,,,,,,,,,,,,,0,,7,Turnu-Severin-Ruse,,,,,0,,0,,1,"",0,"",2,"",1,,3.45490000000001,173,12,9,2013,7,"",2014-04-17,00:00:00,,0,,,,,,1,0.0236,µg/sampler,,,,,,,,,,,,,,,,,,"",,1,1,0,"",1,"",12.9.-16.9.,930-464,10,""
7,67,XX,,,,,,,,,,,,,,,0,,8,Ruse-Braila,,,,,0,,0,,1,"",0,"",2,"",1,,3.1242,173,18,9,2013,4,"",2014-04-17,00:00:00,,0,,,,,,1,0.0171,µg/sampler,,,,,,,,,,,,,,,,,,"",,1,1,0,"",1,"",18.9.-21.9.,464-170,10,""
8,67,XX,,,,,,,,,,,,,,,0,,9,Braila-Tulcea,,,,,0,,0,,1,"",0,"",2,"",1,,3.32380000000001,173,22,9,2013,6,"",2014-04-17,00:00:00,,0,,,,,,1,0.0253,µg/sampler,,,,,,,,,,,,,,,,,,"",,1,1,0,"",1,"",22.9.-26.9.,170-71,10,""
9,67,XX,,,,,,,,,,,,,,,0,,1 to 3,stretch 1-3 (field blank),,,,,0,,0,,1,"",0,"",2,"",2,,3.5,173,13,8,2013,0,"",2014-04-17,00:00:00,,0,,,,,,2,0,µg/sampler,,,,,,,,,,,,,,,,,,"",,1,1,0,"",1,"",13.8.-26.8.,2225-1632,10,""
10,67,XX,,,,,,,,,,,,,,,0,,4 to 6,stretch 4-6 (field blank),,,,,0,,0,,1,"",0,"",2,"",2,,3.1454,173,28,8,2013,0,"",2014-04-17,00:00:00,,0,,,,,,2,0,µg/sampler,,,,,,,,,,,,,,,,,,"",,1,1,0,"",1,"",28.8.-4.9.,1623-926,10,""
