"pri_id","pri_cas","pri_name","pri_emissions","pri_correct","pri_score1","pri_score2","pri_score3","pri_score4","pri_score5"
"3890","85-43-8","1,2,3,6-tetrahydrophthalic anhydride","3_REACH","FALSE","0.00","0.00","0.00","0.00","0.00"
"2232","19438-60-9","hexahydro-4-methylphthalic anhydride","3_REACH","FALSE","0.00","0.00","0.00","0.00","0.00"
"212","1071-83-6","Glyphosate","2_Pest","FALSE","0.00","0.00","0.00","0.00","0.00"
"126","100-44-7","?-chlorotoluene","3_REACH","FALSE","0.00","0.00","0.00","0.00","0.00"
"2011","1506-02-1","1-(5,6,7,8-tetrahydro-3,5,5,6,8,8-hexamethyl-2-naphthyl)ethan-1-one | Tonalid","3_REACH","FALSE","0.00","0.00","0.00","0.00","0.00"
"4006","90-80-2","D-glucono-1,5-lactone","3_REACH","FALSE","0.00","0.00","0.00","0.00","0.00"
"3042","515-84-4","ethyl trichloroacetate","3_REACH","FALSE","0.00","0.00","0.00","0.00","0.00"
"779","6440-58-0","1,3-bis(hydroxymethyl)-5,5-dimethylimidazolidine-2,4-dione","3_REACH","FALSE","0.00","0.00","0.00","0.00","0.00"
"1489","108-77-0","2,4,6-trichloro-1,3,5-triazine","3_REACH","FALSE","1.20","1.50","2.00","2.00","2.00"
"3125","541-02-6","decamethylcyclopentasiloxane","3_REACH","TRUE","0.22","1.20","1.50","2.00","2.00"
"966","85-44-9","phthalic anhydride","3_REACH","FALSE","1.10","1.20","1.50","2.00","2.00"
"193","106-47-8","4-chloroaniline","3_REACH","TRUE","0.00","1.04","1.20","1.50","2.00"
"96","80-05-7","4,4'-isopropylidenediphenol","3_REACH","TRUE","0.00","0.23","1.20","1.50","2.00"
"358","120-12-7","anthracene","3_REACH","TRUE","0.00","0.19","1.20","1.50","2.00"
"3560","70356-09-1","1-[4-(1,1-dimethylethyl)phenyl]-3-(4-methoxyphenyl)propane-1,3-dione","3_REACH","TRUE","0.00","0.17","1.20","1.50","2.00"
"765","62-53-3","aniline","3_REACH","TRUE","0.00","0.04","1.10","1.20","1.50"
"542","2243-62-1","1,5-naphthylenediamine","3_REACH","TRUE","0.00","0.00","1.10","1.20","1.50"
"932","80-15-9","?,?-dimethylbenzyl hydroperoxide","3_REACH","TRUE","0.00","0.00","1.10","1.20","1.50"
"1076","98-82-8","cumene","3_REACH","TRUE","0.00","0.00","1.09","1.20","1.50"
"196","106-50-3","p-phenylenediamine","3_REACH","TRUE","0.00","0.00","1.04","1.20","1.50"
"379","122-39-4","diphenylamine","3_REACH","TRUE","0.00","0.00","1.04","1.20","1.50"
"709","5598-13-0","Chlorpyrifos-Methyl","2_Pest","TRUE","0.00","0.04","1.03","1.20","1.50"
"87","7287-19-6","Prometryn","2_Pest","TRUE","0.00","0.32","0.88","1.34","1.84"
"516","1897-45-6","Chlorothalonil","2_Pest","TRUE","0.00","0.00","0.85","1.13","1.47"
"1025","950-37-8","Methidathion","2_Pest","TRUE","0.00","0.00","0.84","1.20","1.50"
"971","86479-06-3","Hexaflumuron","2_Pest","TRUE","0.00","0.00","0.79","1.11","1.43"
"677","52-68-6","Trichlorfon","2_Pest","TRUE","0.00","0.00","0.75","1.20","1.50"
"608","34256-82-1","Acetochlor","2_Pest","TRUE","0.00","0.00","0.73","1.04","1.34"
"465","142-90-5","dodecyl methacrylate","3_REACH","TRUE","0.00","0.01","0.60","1.20","1.50"
"1115","87392-12-9","S-Metolachlor","2_Pest","TRUE","0.00","0.00","0.60","1.20","1.50"
"3921","872-05-9","dec-1-ene","3_REACH","TRUE","0.00","0.00","0.44","1.20","1.50"
"332","112-53-8","dodecan-1-ol","3_REACH","TRUE","0.00","0.00","0.29","1.20","1.50"
"585","2921-88-2","Chlorpyrifos","2_Pest","TRUE","0.00","0.01","0.28","1.14","1.50"
"1323","101-54-2","N-(4-aminophenyl)aniline","3_REACH","TRUE","0.00","0.00","0.28","0.95","1.50"
"53","41859-67-0","Bezafibrat","1_Pharma","TRUE","0.00","0.00","0.26","0.82","1.47"
"922","79538-32-2","Tefluthrin","2_Pest","TRUE","0.00","0.00","0.25","1.19","1.50"
"40","2642-71-9","Azinphos-ethyl","2_Pest","TRUE","0.00","0.03","0.23","1.20","1.50"
"1563","111-88-6","octane-1-thiol","3_REACH","TRUE","0.00","0.00","0.23","1.20","1.50"
"5137","3689-24-5","Sulfotep","2_Pest","TRUE","0.00","0.00","0.23","1.20","1.50"
"165","103-90-2","paracetamol","1_Pharma","TRUE","0.00","0.00","0.23","1.20","1.50"
