sus_id,DTXSID,usepa_formula,usepa_wikipedia,usepa_wikipedia_url,usepa_Log_Kow_experimental,usepa_Log_Kow_predicted,usepa_solubility_experimental,usepa_solubility_predicted,usepa_Koc_min_experimental,usepa_Koc_max_experimental,usepa_Koc_min_predicted,usepa_Koc_max_predicted,usepa_Life_experimental,usepa_Life_predicted,usepa_BCF_experimental,usepa_BCF_predicted
1,DTXSID60144515,,,,,,,,,,283.378,283.378,,3.35954,,3.02301
2,DTXSID9045265,,,,,,,,,,290.239,290.239,,3.35722,,4.16407
3,DTXSID1023609,,,,,,,,,,16.4261,16.4261,,2.53027,,1.20965
4,DTXSID0023612,,,,,,,,,,194.906,194.906,,3.35842,,2.12216
5,DTXSID5023615,,,,,,,,,,149.166,149.166,,3.17228,,2.05883
6,DTXSID5023617,,,,,,,,,,176.888,176.888,,3.36133,,5.02459
7,DTXSID4023622,,,,,,,,,,32.3034,32.3034,,3.86552,,1.84258
9,DTXSID2046701,,,,,,,,,,137314,137314,,97.1245,,44.7336
10,DTXSID4057768,,,,,,,,,,399.59,399.59,,3.53675,,4.00703
11,DTXSID3057773,,,,,,,,,,72.1802,72.1802,,3.34586,,31.2286
12,DTXSID8041793,,,,,,,,,,281.436,281.436,,13.9409,,103.269
13,DTXSID6046264,,,,,,,,,,105.546,105.546,,4.62637,,7.87499
14,DTXSID80881410,,,,,,,,,,1171.66,1171.66,,8.71354,,79.0705
15,DTXSID9046813,,,,,,,,,,1725.87,1725.87,,3.36125,,181.85
16,DTXSID3048283,,,,,,,,,,909.157,909.157,,3.54713,,26.7576
17,DTXSID7048378,,,,,,,,,,994.706,994.706,,6.2864,,17.9436
18,DTXSID1020803,,,,,,,,,,42.6217,42.6217,,3.36104,,1.33171
19,DTXSID60514274,,,,,,,,,,290.029,290.029,,3.54683,,7.98976
20,DTXSID0048345,,,,,,,,,,76.077,76.077,,3.3466,,4.14608
21,DTXSID6022686,,,,,,,,,,896.501,896.501,,45.1874,,80.2774
23,DTXSID90891424,,,,,,,,,,1683.34,1683.34,,14.0295,,12.1819
24,DTXSID7045998,,,,,,,,,,90610,90610,,88.4654,,8.79309
25,DTXSID3023215,,,,,,,,,,60.3036,60.3036,,36.8012,,1.85672
26,DTXSID6022973,,,,,,,,,,1438.64,1438.64,,3.54729,,12.0147
27,DTXSID1045166,,,,,,,,,,330.5,330.5,,4.85745,,13.561
28,DTXSID30878592,,,,,,,,,,21450,21450,,98.1053,,5.16882
29,DTXSID5021209,,,,,,,,,,35.1322,55.2077,,3.5154,,2.06849
30,DTXSID6023577,,,,,,,,,,4438.07,4438.07,,67.9573,140.75,996.969
31,DTXSID6023737,,,,,,,,,,652.726,652.726,,3.35698,99.8238,56.41
32,DTXSID7022594,,,,,,,,,,6565.87,6565.87,,4.36017,,342.416
33,DTXSID8045193,,,,,,,,,,1290.55,1290.55,,3.36033,,14.9906
34,DTXSID7023225,,,,,,,,,,1535.77,1535.77,,4.27584,,93.5696
35,DTXSID8022826,,,,,,,,,,2401.14,2401.14,,3.54788,,102.782
36,DTXSID9023388,,,,,,,,,,506.877,506.877,,47.7782,,17.0219
37,DTXSID3023425,,,,,,,,,,1872.49,1872.49,,3.54791,150.938,52.1286
38,DTXSID6022844,,,,,,,,,,932.464,932.464,,5.3147,,243.6
40,DTXSID6046761,,,,,,,,,,63602.8,63602.8,,13.9164,,18.6455
41,DTXSID5023372,,,,,,,,,,856.002,856.002,,5.26333,,11.7584
42,DTXSID4046022,,,,,,,,,,682.924,682.924,,4.5437,,85.7857
43,DTXSID7022596,,,,,,,,,,37.2545,37.2545,,3.35865,,10.9218
44,DTXSID9023049,,,,,,,,,,1273.7,1273.7,,3.36212,,151.964
45,DTXSID40891434,,,,,,,,,,172.06,172.06,,6.25108,,40.5962
46,DTXSID60467650,,,,,,,,,,299.315,299.315,,36.9323,,18.0608
48,DTXSID60236666,,,,,,,,,,7256.43,7256.43,,73.3419,,1149.26
49,DTXSID60182154,,,,,,,,,,41314.9,41314.9,,88.1398,,62.7727
50,DTXSID6021327,,,,,,,,,,67102.8,67102.8,,85.1503,,331.751
51,DTXSID00891435,,,,,,,,,,66.0289,66.0289,,4.20849,,1.77481
52,DTXSID1023231,,,,,,,,,,829.859,829.859,,30.5389,,18.8328
53,DTXSID80891438,,,,,,,,,,327.949,327.949,,3.34765,,19.4479
54,DTXSID2020890,,,,,,,,138.038,138.038,15.6315,137.591,,3.53651,,1.60228
55,DTXSID4041230,,,,,,,,,,61.9646,61.9646,,4.29191,,2.41873
56,DTXSID70891442,,,,,,,,,,84.6026,84.6026,,3.52964,,5.2609
57,DTXSID1037806,,,,,,,,,,8.60994,32.1556,,8.35163,,2.16181
58,DTXSID6037483,,,,,,,,,,298.449,298.449,,4.28771,,8.51853
59,DTXSID30891443,,,,,,,,,,229.195,229.195,,3.35651,,14.2108
60,DTXSID8045012,,,,,,,,,,31.137,31.137,,9.1436,,6.26212
61,DTXSID1073153,,,,,,,,,,48.6717,48.6717,,4.1354,,1.25429
63,DTXSID4037580,,,,,,,,,,9.92123,9.92123,,3.54975,,0.770725
64,DTXSID8023846,,,,,,,,1.99526,1.99526,2.01033,3.58096,,3.55577,0.0443286,1.76032
65,DTXSID9034816,,,,,,,,1,1,1.00779,1.00779,,4.13837,,1.01959
66,DTXSID8020620,,,,,,,,1513.56,1513.56,1247.38,1511.89,,4.54476,252.627,213.822
67,DTXSID8023848,,,,,,,,208.93,208.93,209.152,290.402,,4.88397,,43.137
68,DTXSID5024211,,,,,,,,575.44,575.44,575.265,619.441,,3.35852,,72.3367
69,DTXSID0034518,,,,,,,,1513.56,1513.56,481.948,1516.08,,4.4794,,28.3518
70,DTXSID9047209,,,,,,,,,,60.1044,60.1044,,137.312,,17.2779
71,DTXSID4027997,,,,,,,,39.8107,39.8107,39.861,78.5236,,4.91273,,7.25243
72,DTXSID2043874,,,,,,,,,,45.4479,45.4479,,4.5313,,5.18741
73,DTXSID0040961,,,,,,,,,,12.6354,12.6354,,3.52586,,1.38984
74,DTXSID4021135,,,,,,,,,,3802.69,3802.69,,22.5502,,83.4727
75,DTXSID3041742,,,,,,,,,,14859.8,14859.8,,36.9098,,236.281
76,DTXSID1035028,,,,,,,,,,182.96,182.96,,4.66515,,2.96652
77,DTXSID7021815,,,,,,,,194.984,194.984,266.927,266.927,,13.3122,53.5448,27.8909
78,DTXSID7045522,,,,,,,,,,2161.44,2161.44,,3.54643,,9.53576
79,DTXSID9020035,,,,,,,,,,48775.5,48775.5,,3.35926,,2.42157
81,DTXSID80891796,,,,,,,,,,18280.6,18280.6,,3.36106,,2.38172
82,DTXSID40891797,,,,,,,,,,9477.69,9477.69,,4.75764,,1.47409
83,DTXSID0039223,,,,,,,,31.6228,31.6228,31.643,31.989,,3.54517,0.8925,6.10483
84,DTXSID6023862,,,,,,,,2.63027,2.63027,2.64411,2.64411,,4.65414,,1.0197
85,DTXSID1033161,,,,,,,,3.63078,3.63078,3.64936,3.64936,,4.47601,,3.55123
86,DTXSID9022609,,,,,,,,,,132077,132077,,99.8145,,95.6015
