sus_id,categories
10282,antimicrobial_ACToRUseDB
10282,apparel_care:footwear:detected
10282,beverage:food_service
10282,chemical:laboratory
10282,cleaning_washing
10282,cleaning_washing:disinfectant
10282,cleaning_washing:kitchen:consumer_use
10282,colorant
10282,consumer_use_ACToRUseDB
10282,detergent
10282,drinking_water_contaminant:drug:detected
10282,drug
10282,drug:discontinued
10282,drug_ACToRUseDB
10282,fixative
10282,fluid_property_modulator
10282,food
10282,food_contact:plastics
10282,food_residue
10282,food_service
10282,fragrance
10282,fragrance:consumer_use
10282,impregnation:leather
10282,impregnation:paper
10282,impregnation:textile
10282,impregnation:wood
10282,industrial_manufacturing_ACToRUseDB
10282,manufacturing:chemical
10282,manufacturing:leather
10282,manufacturing:plastics
10282,manufacturing:rubber
10282,manufacturing:textile
10282,personal_care:cosmetics
10282,personal_care:cosmetics:bath:baby_use
10282,personal_care:cosmetics:body:powder
10282,personal_care:cosmetics:deodorant
10282,personal_care:cosmetics:face
10282,personal_care:cosmetics:fragrance
10282,personal_care:cosmetics:hair
10282,personal_care:cosmetics:hair_removal:cream
10282,personal_care:cosmetics:preservatives
10282,personal_care:cosmetics:shampoo:hair
10282,personal_care:cosmetics:skin
10282,personal_care:cosmetics:soap:detected
10282,personal_care:dental
10282,personal_care:first_aid
10282,personal_care:foot
10282,personal_care:sanitizer:hand
10282,personal_care:shower:gel
10282,personal_care:soap
10282,personal_care:soap:hand
10282,personal_care:wash:body
10282,personal_care:wash:hand
10282,personal_care_ACToRUseDB
10282,pesticide
10282,pesticide:active_ingredient
10282,pesticide:antimicrobial
10282,pesticide:antimicrobial:active_ingredient
10282,pesticide:apparel:antimicrobial:detected
10282,pesticide:biocide:active_ingredient
10282,pesticide:biocide:non_agricultural
10282,pesticide:inert_ingredient
10282,pesticide:preservatives
10282,pesticide_ACToRUseDB
10282,plastics
10282,resource_extraction:gas
10282,softener
10282,stabilizer
10282,surface_treatment
10282,toys:child_use
10282,water_treatment
10282,inside the home: automatic dishwashing detergent
10282,personal care: bite relief
10282,personal care: body oil
10282,personal care: body powder
10282,personal care: deodorant
10282,personal care: dry shampoo
10282,personal care: face cream/moisturizer
10282,personal care: face mask
10282,personal care: foot care
10282,personal care: fragrance
10282,personal care: hand soap
10282,personal care: shampoo
10282,pesticides: insecticide
21437,food_additive
21437,food_additive:flavor
21437,food_additive_ACToRUseDB
21437,food_contact
617,drug
617,drug:dea_abuse_concern
617,drug_ACToRUseDB
3475,pesticide_ACToRUseDB
23802,drug
23802,drug_ACToRUseDB
23887,drug:antimalarial
23900,food_contact
14788,human_metabolite
14770,human_metabolite
2336,drug
2336,drug:beta_adrenergic_agonist
2336,drug:cardial
2336,drug_ACToRUseDB
40672,drug
40672,drug:inactive_ingredient
40672,drug_ACToRUseDB
24141,drug
24141,drug_ACToRUseDB
24141,food
4974,consumer_use_ACToRUseDB
4974,personal_care:cosmetics
4974,personal_care:cosmetics:hair_dye
4974,personal_care:cosmetics:restricted_ASEAN
4974,personal_care:cosmetics:restricted_Europe
4974,personal_care:cosmetics:restricted_UK
4974,personal_care_ACToRUseDB
7756,drug
7756,drug:analgesic
7756,drug:anesthetic
7756,drug:dea_abuse_concern
7756,drug:sedative
7756,drug_ACToRUseDB
7756,food
24356,volatile_organic
24609,drug
24609,drug_ACToRUseDB
2386,drug
2386,drug_ACToRUseDB
24892,automotive
24892,industrial_manufacturing_ACToRUseDB
21701,food_additive
21701,food_additive:flavor
21701,food_additive_ACToRUseDB
9972,drug
9972,drug_ACToRUseDB
25308,drug
25308,drug_ACToRUseDB
25348,industrial_manufacturing_ACToRUseDB
25348,manufacturing:oil
7858,drug
7858,drug_ACToRUseDB
7196,drug
7196,drug_ACToRUseDB
25820,drug
25820,drug_ACToRUseDB
40982,drug
40982,drug:anticancer
40982,drug:drug_reagent
40982,drug_ACToRUseDB
26288,pesticide
26288,pesticide_ACToRUseDB
5236,drug
5236,drug_ACToRUseDB
26999,drug
26999,drug_ACToRUseDB
27013,industrial_manufacturing_ACToRUseDB
27013,surface_treatment
14766,human_metabolite
27382,drug
27382,drug_ACToRUseDB
21900,consumer_use_ACToRUseDB
21900,toys:detected
21915,food_additive:flavor
21915,food_additive_ACToRUseDB
27835,drug
27835,drug_ACToRUseDB
20404,pesticide
20404,pesticide_ACToRUseDB
14137,drug:inactive_ingredient
14137,personal_care:cosmetics:detected
14137,personal_care:cosmetics:face
14137,personal_care:sunscreen:detected
14137,personal_care_ACToRUseDB
28276,drug
28276,drug_ACToRUseDB
28290,pesticide:active_ingredient
28290,pesticide_ACToRUseDB
13886,personal_care:cosmetics:hair_dye
13886,personal_care:cosmetics:prohibited_ASEAN
28420,drug
28420,drug_ACToRUseDB
22008,food_additive
22008,food_additive_ACToRUseDB
7011,drug
7011,drug:dea_abuse_concern
7011,drug_ACToRUseDB
22030,food_additive:flavor
22030,food_additive_ACToRUseDB
22051,food_additive
22051,food_additive:flavor
22051,food_additive_ACToRUseDB
29451,drug
29451,drug_ACToRUseDB
29534,human_metabolite
10472,drug
10472,drug_ACToRUseDB
29933,drug
29933,drug_ACToRUseDB
29933,personal_care:cosmetics:prohibited_ASEAN
30113,drug
30113,drug:dea_abuse_concern
30113,drug_ACToRUseDB
22113,food_additive
22113,food_additive_ACToRUseDB
22124,personal_care:cosmetics
22124,personal_care_ACToRUseDB
8270,food_residue
8270,pesticide
8270,pesticide_ACToRUseDB
17907,drug
17907,drug:dea_abuse_concern
17907,drug:hallucinogen
17907,drug_ACToRUseDB
22178,food_additive:flavor
22178,food_additive_ACToRUseDB
6881,drug
6881,drug:dea_abuse_concern
6881,drug_ACToRUseDB
31674,pesticide
31674,pesticide_ACToRUseDB
31707,personal_care:cosmetics:prohibited_ASEAN
1177,pesticide:biocide:active_ingredient
22228,drug
22228,drug_ACToRUseDB
22228,industrial_manufacturing_ACToRUseDB
22228,manufacturing:chemical
22228,manufacturing:drug
22237,food_additive:flavor
22237,food_additive_ACToRUseDB
22254,food_additive:flavor
22254,food_additive_ACToRUseDB
15152,drug
15152,drug_ACToRUseDB
15152,human_metabolite
26113,drug
26113,drug_ACToRUseDB
9079,agrochemical:crop
9079,drinking_water_contaminant:pesticide:detected
9079,food_residue
9079,pesticide
9079,pesticide:active_ingredient
9079,pesticide:ground_water_contaminant
9079,pesticide_ACToRUseDB
22023,food_additive:flavor
22023,food_additive_ACToRUseDB
14764,drug
14764,drug:antifibrinolytic
14764,drug:discontinued
14764,drug:orphan
14764,drug_ACToRUseDB
14764,human_metabolite
14764,personal_care:cosmetics:prohibited_ASEAN
335,drinking_water_contaminant:drug:detected
335,drug
335,drug:analgesic
335,drug:antianxiety
335,drug:anticonvulsant
335,drug:antimanic
335,drug:antiparkinson
335,drug:calcium:channel_blocker
335,drug:discontinued
335,drug:excitatory:amino_acid_antagonist
335,drug:orphan
335,drug_ACToRUseDB
335,food
335,human_metabolite
14227,food_residue
14227,industrial_manufacturing_ACToRUseDB
14227,lubricant
14227,manufacturing:machines
14227,personal_care:cosmetics:prohibited_ASEAN
14227,pesticide
14227,pesticide:active_ingredient
14227,pesticide:restricted_US
14227,pesticide_ACToRUseDB
22299,food_additive
22299,food_additive:flavor
22299,food_additive_ACToRUseDB
