column_name,is_ddl,suggested_data_type,comment_nds,description,example
rowid,0,int,Serial No.,Content independent identifier,
latin_name,1,string,Species name in Latin,"latin_name of species tested, can be empty if group of species or environmental matrix",
title,0,string,"Bibliographic source (Name Surname of the 1st author, Name Surname of the 2nd author, ..., Title of publication, Year, Journal, Volume, Issue, Pages, DOI)",title of paper,
first_author,0,string,"Bibliographic source (Name Surname of the 1st author, Name Surname of the 2nd author, ..., Title of publication, Year, Journal, Volume, Issue, Pages, DOI)",Name of first author only,
year,0,int,"Bibliographic source (Name Surname of the 1st author, Name Surname of the 2nd author, ..., Title of publication, Year, Journal, Volume, Issue, Pages, DOI)",Year of publishing,
doi,0,string,"Bibliographic source (Name Surname of the 1st author, Name Surname of the 2nd author, ..., Title of publication, Year, Journal, Volume, Issue, Pages, DOI)",DOI,
sex,1,string,Biota sex,sex information (m/f/mixed/no data),
diet_as_described_in_paper,0,,,,
trophic_level_as_described_in_paper,0,,,,
life_stage,1,string,Agegroup,reported life stage of tested individual (In eggs reports to egg readiness),"adult, juvenile, hatchling, imago, larvae, etc."
age_in_days,0,string,Biota age (years),"Age in days, data string due to ranges",
x_of_replicates,0,int,,Replicate size,
type_of_monitoring,0,string,,"Context of sampling, has it been performed during monitoring, a purposful study, animal control etc","study, monitoring, etc"
active_passive_sampling,0,string,,Was sampling active or passive,"active, passive, both"
name_of_country,1,string,Name of country,Country in which was sampled,
region_city,0,string,Specific locations,"region/city in which was sampled, NA for country wide datapoints",
health_status,0,string,,health condition and if available method of killing,
habitat_type,1,string,EUNIS Habitat type,Habitat information described in paper,
reported_distance_to_industry,0,string,,Distance to industry information described in paper,
last_pesticide_treatment,0,string,,"Available information of applied pesticides before or during trial. Given either as collection of years, time point or before sampling or as date",
pesticide_used_in_treatment,0,string,,list of chemical names applied on field,
tissue,1,string,Tissue,Exact tissue reported in paper,
basis_of_measurement,0,string,,"Measurment reference, lw:lipid weight, ww: wet weight, dw: dry weight","ww,lw,dw"
analytical_method,0,string,,Analytical method used for quantification,"GC-MS, HPLC-HRMS, etc."
storage_temp_c,0,string,Storage temperature,Temperature for storage of sample; Either a number in degrees celsius or a description like frozen or dried,
lod,0,string,,Limit of detection either int as number or range seperated by “-”,"1, 2-3, etc."
lod_unit,0,string,,Unit of lod,"mg/kg, µg/g, etc"
loq,0,string,,Limit of quantification either int as number or range seperated by “-”,
loq_unit,0,string,,Unit of loq,
pooled,0,string,,"Denotes with ""n"" or ""y"" if a sample is a pooled sample","n,y"
x_of_subsamples,0,string,No. of pooled individuals,"Number of samples pooled, can be range or weight or description",
sd,0,string,,"Standard deviation of the concentration reported, string as some papers described values as <lod or <0.001",
type_of_numeric_quantity,0,string,,"Description of (summary) statistics. Number = Raw data, Mean = Arithmetic Mean",
range_min,0,string,,"reported minimum value in range; either numeric or <lod, or <value",
range_max,0,string,,"reported maximum value in range; either numeric or <lod, or <value",
reported_range_min,0,string,,"Minimum value reported in a range <lod, >lod, >loq",
type_of_range_max,0,string,,"Maximum value reported in a range <lod, >lod, >loq",
concentration_units,1,string,Concentration units,Unit of concentration reported,
frequency_of_detection,0,string,,Amount of positive samples in aggregate sample (0-1) or with threshold (<0.5),
raw_data_available,0,string,,denotes if raw data available in publication,
comment,0,,,,
nest_field_if_not_dicernable,0,string,,identifier for for non-independent samples,
chain_id_if_paper_has_chain,0,string,,ID for the trophic chain sampled,
start_of_sampling_day,0,int,,Day of sampling,
start_of_sampling_month,0,string,,Month of sampling or season,
start_of_sampling_year,0,string,,Year of sampling (can be list of disconnected years of sampling or threshold),
end_of_sampling_day,0,int,,End Day of sampling,
end_of_sampling_month,0,string,,End Month of sampling or season,
end_of_sampling_year,0,string,,End Year of sampling (can be list of disconnected years of sampling or threshold),
imputed_coordinates,0,string,,Indicator if coordinate is imputed or not,"yes, no"
latitude_1,0,string,,"Coordinates separated in ""dd° mm′ ss.ss″ format",
latitude_2,0,string,,"Coordinates separated in ""dd° mm′ ss.ss″ format",
latitude_3,0,string,,"Coordinates separated in ""dd° mm′ ss.ss″ format",
latitude_4,0,string,,"Coordinates separated in ""dd° mm′ ss.ss″ format",
latitude_5,0,string,,"Coordinates separated in ""dd° mm′ ss.ss″ format",
latitude_6,0,string,,"Coordinates separated in ""dd° mm′ ss.ss″ format",
latitude_7,0,string,,"Coordinates separated in ""dd° mm′ ss.ss″ format",
latitude_8,0,string,,"Coordinates separated in ""dd° mm′ ss.ss″ format",
latitude_9,0,string,,"Coordinates separated in ""dd° mm′ ss.ss″ format",
latitude_10,0,string,,"Coordinates separated in ""dd° mm′ ss.ss″ format",
longitude_1,0,string,,"Coordinates separated in ""dd° mm′ ss.ss″ format",
longitude_2,0,string,,"Coordinates separated in ""dd° mm′ ss.ss″ format",
longitude_3,0,string,,"Coordinates separated in ""dd° mm′ ss.ss″ format",
longitude_4,0,string,,"Coordinates separated in ""dd° mm′ ss.ss″ format",
longitude_5,0,string,,"Coordinates separated in ""dd° mm′ ss.ss″ format",
longitude_6,0,string,,"Coordinates separated in ""dd° mm′ ss.ss″ format",
longitude_7,0,string,,"Coordinates separated in ""dd° mm′ ss.ss″ format",
longitude_8,0,string,,"Coordinates separated in ""dd° mm′ ss.ss″ format",
longitude_9,0,string,,"Coordinates separated in ""dd° mm′ ss.ss″ format",
longitude_10,0,string,,"Coordinates separated in ""dd° mm′ ss.ss″ format",
habitat_class,0,string,,Habitat grouped based on report in paper,
common_name,1,string,Species,Species Common Name,
dietary_preference,0,string,,Species Dietary Preference imputed by trait databases,
Individual_ID,0,int,,ID number for an individual,
unique_measurement,0,string,,Temporary unique identifier (similar to row Id but containing more metadata),
concentrationlevel,0,string,,"Level of concentration in original concentration, to keep concentration column double","value greater lod/q, <lod"
Sample_ID,0,string,,Sample ID of a tissue,
reported_concentration,0,string,,concentration reported in paper,
freq_numeric,0,double,,frequency of positive hits,
N_0,0,double,,Number of negative hits,
kingdom,0,string,,Phylogenetic data,
phylum,0,string,,Phylogenetic data,
order,0,string,,Phylogenetic data,
genus,0,string,,Phylogenetic data,
class_phyl,0,string,,Phylogenetic data,
source_trait,0,string,,Source for trait data,
Class,0,string,,Chemical class,
source_chem,0,string,,Source for chem data,
use_chem,1,string,Use category,Chemical Use,"yes, no"
Is.Transformation.product,0,string,,Denotes if chemical active substance or transformation product,
Parent,0,string,,Parent compound of transformation product,
IS_group,1,string,SusDat,Denotes if chemical is grouped,"Yes,NA"
water_content,0,double,Water content of tissue [%],Water content used for calculation,
ww_conc_ng,0,double,,Concentration in ng/g ww,
ww_lod_ng,0,double,LOD,LOD in ng/g ww,
ww_loq_ng,0,double,LOQ,LOQ in ng/g ww,
ww_sd_ng,0,double,,SD in ng/g ww,
imputed_lod,0,double,,Imputed Lod value in ng/g ww,
All_Means_Without_0,0,double,,All Means without 0 in ng/g ww,
All_Means_With_0,0,double,,All Means with 0 in ng/g ww,
chemical_name,0,string,Substance name,Name of chemical tested,
